,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,get_intervals_time,transform_time,fit_randomforest_time,n_intervals_prop,interval_length_prop,interval_lengths,dilations_per_interval,n_estimators,n_intervals
0,TSF,ALL_AVERAGE,0.8201224,2.0581732,0.9375644000000001,37.32,0,0,0,-1.0,-1.0,base clf,-1.0,200,-1
0,TSF_Dilation,ALL_AVERAGE,0.7124952,2.3606751999999998,0.9411336000000001,37.32,0,0,0,1.0,1.0,[0],1.0,200,0
0,TSF_Dilation,ALL_AVERAGE,0.7252527999999999,2.3137904000000002,0.7837796,30.0,0,0,0,1.0,1.0,[0],1.0,200,10
0,TSF_Dilation,ALL_AVERAGE,0.7067176000000001,55.8640884,21.757619999999996,900.0,0,0,0,1.0,1.0,[0],1.0,200,300
0,TSF_Dilation,ALL_AVERAGE,0.659254,182.79708040000003,72.0253848,3000.0,0,0,0,1.0,1.0,[0],1.0,200,1000
0,TSF_Dilation,ALL_AVERAGE,0.6005208,544.8933824,217.5217356,9000.0,0,0,0,1.0,1.0,[0],1.0,200,3000
0,TSF_Dilation,ALL_AVERAGE,0.5742192,1624.9955911999998,648.6124876,27000.0,0,0,0,1.0,1.0,[0],1.0,200,9000
