,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,get_intervals_time,transform_time,fit_randomforest_time,n_intervals_prop,interval_length_prop,interval_lengths,max_dilation_size,n_estimators,n_intervals
8,TSF_Dilation,DistalPhalanxOutlineAgeGroup,0.76259,2.85532,0.59081,6000,0.03946,0.70643,2.0011500000000004,1.0,1.0,"[3, 7, 9, 11]",2,200,10
9,TSF_Dilation,DistalPhalanxOutlineCorrect,0.77174,4.60116,0.65961,6000,0.03706,0.8298800000000002,3.624319999999999,1.0,1.0,"[3, 7, 9, 11]",2,200,10
10,TSF_Dilation,DistalPhalanxTW,0.69784,3.36727,0.59143,6000,0.03659,0.7252900000000003,2.489589999999999,1.0,1.0,"[3, 7, 9, 11]",2,200,10
11,TSF_Dilation,ECG200,0.89,1.10255,0.57885,6000,0.03541,0.5479299999999998,0.41218000000000016,1.0,1.0,"[3, 7, 9, 11]",2,200,10
12,TSF_Dilation,ECGFiveDays,0.96864,0.82636,1.03132,6000,0.03544,0.49308999999999964,0.18655999999999986,1.0,1.0,"[3, 7, 9, 11]",2,200,10
13,TSF_Dilation,ItalyPowerDemand,0.96501,0.92653,1.03267,6000,0.03983,0.5199800000000003,0.25825000000000015,1.0,1.0,"[3, 7, 9, 11]",2,200,10
14,TSF_Dilation,MiddlePhalanxOutlineAgeGroup,0.59091,3.06158,0.62227,6000,0.03394,0.7318899999999996,2.17693,1.0,1.0,"[3, 7, 9, 11]",2,200,10
15,TSF_Dilation,MiddlePhalanxOutlineCorrect,0.83505,4.99992,0.6847,6000,0.03516,0.8632400000000002,3.9786399999999995,1.0,1.0,"[3, 7, 9, 11]",2,200,10
16,TSF_Dilation,MiddlePhalanxTW,0.54545,4.47584,0.5975,6000,0.03454,0.7422200000000002,3.5744000000000002,1.0,1.0,"[3, 7, 9, 11]",2,200,10
17,TSF_Dilation,OliveOil,0.93333,0.86579,0.53244,6000,0.03701,0.4977899999999999,0.2207499999999999,1.0,1.0,"[3, 7, 9, 11]",2,200,10
18,TSF_Dilation,Plane,1.0,1.27599,0.58768,6000,0.03585,0.5643199999999999,0.5674399999999999,1.0,1.0,"[3, 7, 9, 11]",2,200,10
19,TSF_Dilation,ProximalPhalanxOutlineAgeGroup,0.85366,2.94218,0.6185,6000,0.03861,0.7093900000000001,2.0822499999999993,1.0,1.0,"[3, 7, 9, 11]",2,200,10
