,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,n_intervals_prop,interval_length_prop,interval_lengths,num_of_random_dilations,n_estimators
5,TSF_Dilation,CBF,0.95333,1.43969,1.50138,6000,0.2,1.0,[1],5,200
6,TSF_Dilation,Coffee,0.85714,1.65488,0.95125,9000,0.2,1.0,[1],5,200
7,TSF_Dilation,DiatomSizeReduction,0.95752,1.68412,1.87466,9000,0.2,1.0,[1],5,200
8,TSF_Dilation,DistalPhalanxOutlineAgeGroup,0.73381,2.24026,0.3974,3000,0.2,1.0,[1],5,200
9,TSF_Dilation,DistalPhalanxOutlineCorrect,0.41667,3.4238,0.4383,3000,0.2,1.0,[1],5,200
10,TSF_Dilation,DistalPhalanxTW,0.69065,2.62057,0.38657,3000,0.2,1.0,[1],5,200
11,TSF_Dilation,ECG200,0.83,1.02821,0.39154,3000,0.2,1.0,[1],5,200
12,TSF_Dilation,ECGFiveDays,0.91405,1.4277,1.59338,6000,0.2,1.0,[1],5,200
13,TSF_Dilation,ItalyPowerDemand,0.94849,0.72317,0.75129,0,0.2,1.0,[1],5,200
14,TSF_Dilation,MiddlePhalanxOutlineAgeGroup,0.50649,2.35085,0.39039,3000,0.2,1.0,[1],5,200
15,TSF_Dilation,MiddlePhalanxOutlineCorrect,0.68041,3.60688,0.54592,3000,0.2,1.0,[1],5,200
16,TSF_Dilation,MiddlePhalanxTW,0.48701,3.10181,0.4012,3000,0.2,1.0,[1],5,200
17,TSF_Dilation,OliveOil,0.66667,2.7219,1.40598,12000,0.2,1.0,[1],5,200
18,TSF_Dilation,Plane,0.98095,1.92748,1.06271,6000,0.2,1.0,[1],5,200
19,TSF_Dilation,ProximalPhalanxOutlineAgeGroup,0.84878,2.2356,0.41774,3000,0.2,1.0,[1],5,200
20,TSF_Dilation,ProximalPhalanxOutlineCorrect,0.69416,3.60237,0.47232,3000,0.2,1.0,[1],5,200
21,TSF_Dilation,ProximalPhalanxTW,0.79024,2.98154,0.44229,3000,0.2,1.0,[1],5,200
22,TSF_Dilation,SyntheticControl,0.84,2.01586,0.45377,3000,0.2,1.0,[1],5,200
23,TSF_Dilation,TwoLeadECG,0.50044,0.64049,0.80447,3000,0.2,1.0,[1],5,200
24,TSF_Dilation,Wine,0.5,2.03828,1.0358,9000,0.2,1.0,[1],5,200
0,TSF_Dilation,ArrowHead,0.52,2.68609,2.47553,16200,0.2,1.0,[1],9,200
1,TSF_Dilation,Beef,0.2,4.38629,2.25784,21600,0.2,1.0,[1],9,200
2,TSF_Dilation,BeetleFly,0.75,3.27566,2.1077,21600,0.2,1.0,[1],9,200
3,TSF_Dilation,BirdChicken,0.9,3.3659,2.19854,21600,0.2,1.0,[1],9,200
4,TSF_Dilation,Car,0.26667,5.22423,2.80111,21600,0.2,1.0,[1],9,200
5,TSF_Dilation,CBF,0.92556,1.85152,2.53466,10800,0.2,1.0,[1],9,200
6,TSF_Dilation,Coffee,0.89286,2.53103,1.71062,16200,0.2,1.0,[1],9,200
7,TSF_Dilation,DiatomSizeReduction,0.91176,2.51492,3.59391,16200,0.2,1.0,[1],9,200
8,TSF_Dilation,DistalPhalanxOutlineAgeGroup,0.68345,3.36293,0.6409,5400,0.2,1.0,[1],9,200
9,TSF_Dilation,DistalPhalanxOutlineCorrect,0.41667,5.79926,0.75103,5400,0.2,1.0,[1],9,200
10,TSF_Dilation,DistalPhalanxTW,0.69065,3.96837,0.64121,5400,0.2,1.0,[1],9,200
11,TSF_Dilation,ECG200,0.78,1.40962,0.75209,5400,0.2,1.0,[1],9,200
12,TSF_Dilation,ECGFiveDays,0.92567,2.36926,2.56402,10800,0.2,1.0,[1],9,200
13,TSF_Dilation,ItalyPowerDemand,0.95044,0.99853,1.39363,0,0.2,1.0,[1],9,200
14,TSF_Dilation,MiddlePhalanxOutlineAgeGroup,0.5974,3.57686,0.65654,5400,0.2,1.0,[1],9,200
15,TSF_Dilation,MiddlePhalanxOutlineCorrect,0.53952,6.03896,0.85913,5400,0.2,1.0,[1],9,200
16,TSF_Dilation,MiddlePhalanxTW,0.48052,5.6649,0.71045,5400,0.2,1.0,[1],9,200
17,TSF_Dilation,OliveOil,0.66667,4.73706,2.29874,21600,0.2,1.0,[1],9,200
18,TSF_Dilation,Plane,0.99048,2.78617,1.18627,10800,0.2,1.0,[1],9,200
19,TSF_Dilation,ProximalPhalanxOutlineAgeGroup,0.78537,3.54441,0.75214,5400,0.2,1.0,[1],9,200
20,TSF_Dilation,ProximalPhalanxOutlineCorrect,0.65636,5.71317,0.79291,5400,0.2,1.0,[1],9,200
21,TSF_Dilation,ProximalPhalanxTW,0.77073,4.47701,0.68754,5400,0.2,1.0,[1],9,200
22,TSF_Dilation,SyntheticControl,0.83,3.83438,0.72962,5400,0.2,1.0,[1],9,200
23,TSF_Dilation,TwoLeadECG,0.50044,1.16428,1.51601,5400,0.2,1.0,[1],9,200
24,TSF_Dilation,Wine,0.5,4.14833,1.85307,16200,0.2,1.0,[1],9,200
0,TSF_Dilation,ArrowHead,0.55429,3.54482,3.23422,23400,0.2,1.0,[1],13,200
1,TSF_Dilation,Beef,0.2,4.98972,3.23566,31200,0.2,1.0,[1],13,200
2,TSF_Dilation,BeetleFly,0.75,4.69979,3.11008,31200,0.2,1.0,[1],13,200
3,TSF_Dilation,BirdChicken,0.65,4.37408,3.10721,31200,0.2,1.0,[1],13,200
4,TSF_Dilation,Car,0.23333,7.24257,3.78195,31200,0.2,1.0,[1],13,200
5,TSF_Dilation,CBF,0.71111,2.40519,3.80984,15600,0.2,1.0,[1],13,200
6,TSF_Dilation,Coffee,0.85714,4.06873,2.52621,23400,0.2,1.0,[1],13,200
7,TSF_Dilation,DiatomSizeReduction,0.94771,3.05548,4.70579,23400,0.2,1.0,[1],13,200
8,TSF_Dilation,DistalPhalanxOutlineAgeGroup,0.71223,4.54518,0.89614,7800,0.2,1.0,[1],13,200
9,TSF_Dilation,DistalPhalanxOutlineCorrect,0.41667,7.9084,1.14801,7800,0.2,1.0,[1],13,200
10,TSF_Dilation,DistalPhalanxTW,0.69065,5.35628,0.91136,7800,0.2,1.0,[1],13,200
11,TSF_Dilation,ECG200,0.82,2.55459,1.25134,7800,0.2,1.0,[1],13,200
12,TSF_Dilation,ECGFiveDays,0.8885,2.12627,3.81523,15600,0.2,1.0,[1],13,200
13,TSF_Dilation,ItalyPowerDemand,0.95141,1.26431,1.38668,0,0.2,1.0,[1],13,200
14,TSF_Dilation,MiddlePhalanxOutlineAgeGroup,0.31818,5.0967,1.19178,7800,0.2,1.0,[1],13,200
15,TSF_Dilation,MiddlePhalanxOutlineCorrect,0.7457,8.20145,1.11128,7800,0.2,1.0,[1],13,200
16,TSF_Dilation,MiddlePhalanxTW,0.44156,7.78002,0.99344,7800,0.2,1.0,[1],13,200
17,TSF_Dilation,OliveOil,0.6,5.49037,3.51919,31200,0.2,1.0,[1],13,200
18,TSF_Dilation,Plane,0.94286,4.0954,1.69389,15600,0.2,1.0,[1],13,200
19,TSF_Dilation,ProximalPhalanxOutlineAgeGroup,0.85366,6.03877,0.98293,7800,0.2,1.0,[1],13,200
20,TSF_Dilation,ProximalPhalanxOutlineCorrect,0.6323,8.36043,1.1854,7800,0.2,1.0,[1],13,200
21,TSF_Dilation,ProximalPhalanxTW,0.79512,5.84792,1.09209,7800,0.2,1.0,[1],13,200
22,TSF_Dilation,SyntheticControl,0.83,4.40131,1.06791,7800,0.2,1.0,[1],13,200
23,TSF_Dilation,TwoLeadECG,0.50044,1.33182,2.03833,7800,0.2,1.0,[1],13,200
24,TSF_Dilation,Wine,0.46296,4.44501,2.65234,23400,0.2,1.0,[1],13,200
0,TSF_Dilation,ArrowHead,0.52571,4.65909,4.28837,30600,0.2,1.0,[1],17,200
1,TSF_Dilation,Beef,0.2,8.16254,4.14029,40800,0.2,1.0,[1],17,200
2,TSF_Dilation,BeetleFly,0.7,5.45769,4.07992,40800,0.2,1.0,[1],17,200
3,TSF_Dilation,BirdChicken,0.8,5.59559,3.93081,40800,0.2,1.0,[1],17,200
4,TSF_Dilation,Car,0.23333,10.60133,5.29464,40800,0.2,1.0,[1],17,200
5,TSF_Dilation,CBF,0.67,2.62087,4.72499,20400,0.2,1.0,[1],17,200
6,TSF_Dilation,Coffee,0.82143,4.05352,2.89994,30600,0.2,1.0,[1],17,200
7,TSF_Dilation,DiatomSizeReduction,0.94771,5.66653,6.27953,30600,0.2,1.0,[1],17,200
8,TSF_Dilation,DistalPhalanxOutlineAgeGroup,0.63309,6.29626,1.12917,10200,0.2,1.0,[1],17,200
9,TSF_Dilation,DistalPhalanxOutlineCorrect,0.41667,10.88338,1.50012,10200,0.2,1.0,[1],17,200
10,TSF_Dilation,DistalPhalanxTW,0.69784,8.42981,1.20427,10200,0.2,1.0,[1],17,200
11,TSF_Dilation,ECG200,0.8,2.30832,1.11002,10200,0.2,1.0,[1],17,200
12,TSF_Dilation,ECGFiveDays,0.92915,2.56792,4.81752,20400,0.2,1.0,[1],17,200
13,TSF_Dilation,ItalyPowerDemand,0.93197,2.61237,1.98973,0,0.2,1.0,[1],17,200
14,TSF_Dilation,MiddlePhalanxOutlineAgeGroup,0.31169,8.52131,1.1453,10200,0.2,1.0,[1],17,200
15,TSF_Dilation,MiddlePhalanxOutlineCorrect,0.76289,12.38413,1.46993,10200,0.2,1.0,[1],17,200
16,TSF_Dilation,MiddlePhalanxTW,0.51299,9.1998,1.24778,10200,0.2,1.0,[1],17,200
17,TSF_Dilation,OliveOil,0.43333,6.69255,4.06106,40800,0.2,1.0,[1],17,200
18,TSF_Dilation,Plane,1.0,4.79361,2.31835,20400,0.2,1.0,[1],17,200
19,TSF_Dilation,ProximalPhalanxOutlineAgeGroup,0.85366,7.20402,1.4715,10200,0.2,1.0,[1],17,200
20,TSF_Dilation,ProximalPhalanxOutlineCorrect,0.63918,11.41567,1.49184,10200,0.2,1.0,[1],17,200
21,TSF_Dilation,ProximalPhalanxTW,0.80488,8.65157,1.33586,10200,0.2,1.0,[1],17,200
22,TSF_Dilation,SyntheticControl,0.84667,5.31801,1.43976,10200,0.2,1.0,[1],17,200
23,TSF_Dilation,TwoLeadECG,0.50044,1.42539,2.37482,10200,0.2,1.0,[1],17,200
24,TSF_Dilation,Wine,0.5,6.60039,3.24446,30600,0.2,1.0,[1],17,200
0,TSF_Dilation,ArrowHead,0.51429,7.74154,6.20766,37800,0.2,1.0,[1],21,200
1,TSF_Dilation,Beef,0.2,8.88758,5.26212,50400,0.2,1.0,[1],21,200
2,TSF_Dilation,BeetleFly,0.65,9.65285,5.03228,50400,0.2,1.0,[1],21,200
3,TSF_Dilation,BirdChicken,0.9,7.4469,4.92175,50400,0.2,1.0,[1],21,200
4,TSF_Dilation,Car,0.23333,11.03279,6.29027,50400,0.2,1.0,[1],21,200
5,TSF_Dilation,CBF,0.59667,3.58966,6.02562,25200,0.2,1.0,[1],21,200
6,TSF_Dilation,Coffee,0.78571,5.1724,3.55133,37800,0.2,1.0,[1],21,200
7,TSF_Dilation,DiatomSizeReduction,0.9281,5.00358,7.89762,37800,0.2,1.0,[1],21,200
