,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,n_shapelet_samples,max_shapelet_length,max_shapelets
25,STC_Dilation,ALL_AVERAGE,0.8389944,642.822552,71.5160348,NULL,25000,11,20000
25,STC_Dilation,ALL_AVERAGE,0.8389996,455.1411396,75.8956128,NULL,10000,9,5000
25,STC_Dilation,ALL_AVERAGE,0.8394632,536.2975476,90.406492,NULL,10000,7,10000
25,STC_Dilation,ALL_AVERAGE,0.8394636,294.141602,23.1467904,NULL,20000,,20000
25,STC_Dilation,ALL_AVERAGE,0.839678,692.129508,77.453602,NULL,25000,9,20000
25,STC_Dilation,ALL_AVERAGE,0.8402112,717.5102508,72.4435848,NULL,30000,11,20000
25,STC_Dilation,ALL_AVERAGE,0.8402232,219.682808,33.7962888,NULL,10000,11,1000
25,STC_Dilation,ALL_AVERAGE,0.8402396,617.4535808,94.4244136,NULL,15000,7,10000
25,STC_Dilation,ALL_AVERAGE,0.8403028,421.3422428,34.076988,NULL,30000,9,1000
25,STC_Dilation,ALL_AVERAGE,0.8403388,196.5373112,25.1374772,NULL,10000,,3000
25,STC_Dilation,ALL_AVERAGE,0.8405204,418.4835112,33.1229872,NULL,30000,11,1000
25,STC_Dilation,ALL_AVERAGE,0.8407908,779.908088,86.50559,NULL,30000,9,10000
25,STC_Dilation,ALL_AVERAGE,0.8408732,427.67704,70.3611952,NULL,10000,11,5000
25,STC_Dilation,ALL_AVERAGE,0.8409076,626.2436084,69.6858568,NULL,25000,11,10000
25,STC_Dilation,ALL_AVERAGE,0.8412304,369.738658,60.2479368,NULL,10000,11,3000
25,STC_Dilation,ALL_AVERAGE,0.841324,872.5327668,99.800222,NULL,30000,7,20000
25,STC,ALL_AVERAGE,0.8416608,174.7646376,21.7882508,NULL,10000,None,None
25,STC_Dilation,ALL_AVERAGE,0.8419244,484.7311672,69.79846,NULL,15000,11,5000
25,STC_Dilation,ALL_AVERAGE,0.8420528,268.3467464,33.4143432,NULL,15000,9,1000
25,STC_Dilation,ALL_AVERAGE,0.8420656,507.9934272,75.0724084,NULL,15000,9,5000
25,STC_Dilation,ALL_AVERAGE,0.8423092,360.1619248,19.9811448,NULL,30000,,
25,STC_Dilation,ALL_AVERAGE,0.8423868,730.5446648,78.8902732,NULL,30000,11,10000
25,STC_Dilation,ALL_AVERAGE,0.8428412,541.6564708,77.8454296,NULL,15000,9,20000
25,STC_Dilation,ALL_AVERAGE,0.8428544,465.31973,66.6186576,NULL,15000,7,3000
25,STC_Dilation,ALL_AVERAGE,0.8430232,234.1139224,24.5258916,NULL,15000,,20000
25,STC_Dilation,ALL_AVERAGE,0.8431984,187.0088432,23.4209116,NULL,10000,,1000
25,STC_Dilation,ALL_AVERAGE,0.8432728,376.4662964,21.1990136,NULL,30000,,1000
25,STC_Dilation,ALL_AVERAGE,0.8434244,360.5369048,31.5142552,NULL,25000,9,1000
25,STC_Dilation,ALL_AVERAGE,0.8435256,566.4488,66.3785612,NULL,25000,7,3000
25,STC_Dilation,ALL_AVERAGE,0.8438408,360.2069416,30.8120004,NULL,25000,11,1000
25,STC_Dilation,ALL_AVERAGE,0.8441012,414.510756,57.6847028,NULL,15000,11,3000
25,STC_Dilation,ALL_AVERAGE,0.8443192,293.5553268,25.9954952,NULL,20000,,3000
25,STC_Dilation,ALL_AVERAGE,0.8448296,622.557252,71.3937856,NULL,25000,11,5000
25,STC_Dilation,ALL_AVERAGE,0.845594,492.0943488,67.8328984,NULL,15000,11,10000
25,STC_Dilation,ALL_AVERAGE,0.845792,235.2628656,22.9357436,NULL,15000,,5000
25,STC_Dilation,ALL_AVERAGE,0.8458944,215.5500788,19.7445016,NULL,15000,,1000
25,STC_Dilation,ALL_AVERAGE,0.8461892,486.7032304,69.1026672,NULL,15000,11,20000
25,STC_Dilation,ALL_AVERAGE,0.8463748,631.1732304,64.56122,NULL,30000,9,3000
25,STC_Dilation,ALL_AVERAGE,0.84693,729.9789252,78.8663664,NULL,30000,9,5000
25,STC_Dilation,ALL_AVERAGE,0.8469832,337.9510348,23.9936408,NULL,25000,,5000
25,STC_Dilation,ALL_AVERAGE,0.8471864,476.9969444,79.6607392,NULL,10000,9,20000
25,STC_Dilation,ALL_AVERAGE,0.8475808,531.9858896,57.5041844,NULL,25000,11,3000
25,STC_Dilation,ALL_AVERAGE,0.8482564,410.9181868,68.2143724,NULL,10000,7,3000
25,STC_Dilation,ALL_AVERAGE,0.848492,284.2781536,22.1145272,NULL,20000,,1000
25,STC_Dilation,ALL_AVERAGE,0.849022,385.3839424,24.5302612,NULL,30000,,3000
25,STC_Dilation,ALL_AVERAGE,0.849278,391.178868,25.41992,NULL,30000,,10000
25,STC_Dilation,ALL_AVERAGE,0.8493172,291.0823076,24.35217,NULL,20000,,5000
25,STC_Dilation,ALL_AVERAGE,0.84936,228.604592,23.6851256,NULL,15000,,3000
25,STC_Dilation,ALL_AVERAGE,0.8496164,284.660044,23.1061464,NULL,20000,,
25,STC_Dilation,ALL_AVERAGE,0.8497116,346.5528416,23.3991704,NULL,25000,,10000
25,STC_Dilation,ALL_AVERAGE,0.8502872,380.4320136,22.5594444,NULL,30000,,5000
25,STC_Dilation,ALL_AVERAGE,0.8505968,570.3773528,75.4318732,NULL,20000,11,10000
25,STC_Dilation,ALL_AVERAGE,0.8506096,437.7133916,71.6858544,NULL,10000,11,20000
25,STC_Dilation,ALL_AVERAGE,0.8508196,189.1735576,23.45674,NULL,10000,,
25,STC_Dilation,ALL_AVERAGE,0.8510108,195.5652568,24.748412,NULL,10000,,20000
25,STC_Dilation,ALL_AVERAGE,0.8510524,326.5532648,21.8260652,NULL,25000,,1000
25,STC_Dilation,ALL_AVERAGE,0.8524708,221.4002832,34.498446,NULL,10000,9,1000
25,STC_Dilation,ALL_AVERAGE,0.852596,301.3654256,31.5173604,NULL,20000,11,1000
25,STC_Dilation,ALL_AVERAGE,0.853064,195.7215016,25.3302044,NULL,10000,,5000
25,STC_Dilation,ALL_AVERAGE,0.8531296,295.6995816,25.4672728,NULL,20000,,10000
25,STC_Dilation,ALL_AVERAGE,0.8532096,352.8606624,25.079624,NULL,25000,,3000
25,STC_Dilation,ALL_AVERAGE,0.8543488,230.0214632,24.1334912,NULL,15000,,10000
25,STC_Dilation,ALL_AVERAGE,0.854404,338.3374672,25.7457476,NULL,25000,,20000
25,STC_Dilation,ALL_AVERAGE,0.8545048,331.1368172,22.7805028,NULL,25000,,
25,STC_Dilation,ALL_AVERAGE,0.854892,385.207564,23.340882,NULL,30000,,20000
25,STC_Dilation,ALL_AVERAGE,0.8555084,196.6063044,25.1005384,NULL,10000,,10000
25,STC_Dilation,ALL_AVERAGE,0.8587928,427.5808236,61.9881668,NULL,15000,9,3000
