,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,n_intervals_prop,interval_length_prop,interval_lengths,num_of_random_dilations,n_estimators,n_intervals
0,TSF,ALL_AVERAGE,0.8235808,2.0647979999999997,0.9621072,NULL,1.0,1.0,[0],0.0,200,0
0,TSF_Dilation,ALL_AVERAGE,0.7239068000000001,2.3340876,0.9553372,37.32,1.0,1.0,[1],1.0,200,0
