,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,get_intervals_time,transform_time,fit_randomforest_time,n_intervals_prop,interval_length_prop,interval_lengths,max_dilation_size,n_estimators,n_intervals
8,TSF_Dilation,DistalPhalanxOutlineAgeGroup,0.7482,1.40319,0.3014,3000,0.01757,0.34939000000000003,0.9759499999999999,1.0,1.0,"[3, 4, 5, 6]",2,100,10
9,TSF_Dilation,DistalPhalanxOutlineCorrect,0.77536,2.32949,0.32816,3000,0.01722,0.39266,1.85642,1.0,1.0,"[3, 4, 5, 6]",2,100,10
10,TSF_Dilation,DistalPhalanxTW,0.66906,1.70355,0.30741,3000,0.01857,0.36001999999999995,1.2635800000000001,1.0,1.0,"[3, 4, 5, 6]",2,100,10
11,TSF_Dilation,ECG200,0.85,0.58332,0.29002,3000,0.01865,0.2844399999999999,0.21672999999999998,1.0,1.0,"[3, 4, 5, 6]",2,100,10
12,TSF_Dilation,ECGFiveDays,0.93961,0.41159,0.49228,3000,0.01717,0.23947000000000007,0.09827999999999995,1.0,1.0,"[3, 4, 5, 6]",2,100,10
13,TSF_Dilation,ItalyPowerDemand,0.97182,0.46617,0.49739,3000,0.01677,0.2562999999999999,0.13521000000000005,1.0,1.0,"[3, 4, 5, 6]",2,100,10
14,TSF_Dilation,MiddlePhalanxOutlineAgeGroup,0.5974,1.51506,0.30439,3000,0.01684,0.3553299999999999,1.0881500000000004,1.0,1.0,"[3, 4, 5, 6]",2,100,10
15,TSF_Dilation,MiddlePhalanxOutlineCorrect,0.82474,2.42403,0.3388,3000,0.01759,0.3985600000000001,1.9448099999999993,1.0,1.0,"[3, 4, 5, 6]",2,100,10
16,TSF_Dilation,MiddlePhalanxTW,0.55844,2.1952,0.30659,3000,0.01739,0.3573300000000001,1.75335,1.0,1.0,"[3, 4, 5, 6]",2,100,10
17,TSF_Dilation,OliveOil,0.93333,0.45455,0.26605,3000,0.01805,0.2572500000000001,0.11905999999999999,1.0,1.0,"[3, 4, 5, 6]",2,100,10
18,TSF_Dilation,Plane,1.0,0.64217,0.29181,3000,0.01827,0.2787600000000001,0.28820999999999997,1.0,1.0,"[3, 4, 5, 6]",2,100,10
19,TSF_Dilation,ProximalPhalanxOutlineAgeGroup,0.84878,1.46094,0.31807,3000,0.01739,0.3508599999999999,1.0347500000000003,1.0,1.0,"[3, 4, 5, 6]",2,100,10
20,TSF_Dilation,ProximalPhalanxOutlineCorrect,0.8866,2.25867,0.3427,3000,0.01721,0.41267000000000004,1.7578499999999997,1.0,1.0,"[3, 4, 5, 6]",2,100,10
21,TSF_Dilation,ProximalPhalanxTW,0.80488,1.70907,0.31911,3000,0.01835,0.35503,1.2797199999999997,1.0,1.0,"[3, 4, 5, 6]",2,100,10
22,TSF_Dilation,SyntheticControl,0.98667,1.38624,0.33211,3000,0.01682,0.31754999999999994,0.9967600000000002,1.0,1.0,"[3, 4, 5, 6]",2,100,10
23,TSF_Dilation,TwoLeadECG,0.88235,0.39359,0.52914,3000,0.01748,0.2303099999999999,0.09234999999999997,1.0,1.0,"[3, 4, 5, 6]",2,100,10
24,TSF_Dilation,Wine,0.77778,0.57374,0.27879,3000,0.03729,0.29304999999999987,0.17268000000000006,1.0,1.0,"[3, 4, 5, 6]",2,100,10
0,TSF_Dilation,ArrowHead,0.77714,0.8777,0.63946,6000,0.03627,0.4933799999999999,0.2391099999999999,1.0,1.0,"[3, 4, 5, 6]",2,200,10
1,TSF_Dilation,Beef,0.8,0.89077,0.50195,6000,0.03904,0.4774399999999998,0.2626799999999999,1.0,1.0,"[3, 4, 5, 6]",2,200,10
2,TSF_Dilation,BeetleFly,0.95,0.81127,0.50707,6000,0.03893,0.48147999999999935,0.18102000000000004,1.0,1.0,"[3, 4, 5, 6]",2,200,10
3,TSF_Dilation,BirdChicken,0.85,0.78912,0.50024,6000,0.03552,0.47266999999999976,0.17565000000000003,1.0,1.0,"[3, 4, 5, 6]",2,200,10
4,TSF_Dilation,Car,0.78333,1.08425,0.55469,6000,0.03785,0.5334700000000001,0.40304,1.0,1.0,"[3, 4, 5, 6]",2,200,10
5,TSF_Dilation,CBF,0.94778,0.90246,1.03899,6000,0.03669,0.5198100000000002,0.23100000000000007,1.0,1.0,"[3, 4, 5, 6]",2,200,10
6,TSF_Dilation,Coffee,1.0,0.82815,0.51957,6000,0.03822,0.49213999999999997,0.18491999999999978,1.0,1.0,"[3, 4, 5, 6]",2,200,10
7,TSF_Dilation,DiatomSizeReduction,0.93464,0.79492,0.74976,6000,0.03565,0.47070000000000006,0.17977999999999986,1.0,1.0,"[3, 4, 5, 6]",2,200,10
8,TSF_Dilation,DistalPhalanxOutlineAgeGroup,0.76259,2.87591,0.65197,6000,0.0356,0.7127299999999999,2.00611,1.0,1.0,"[3, 4, 5, 6]",2,200,10
9,TSF_Dilation,DistalPhalanxOutlineCorrect,0.78623,4.63754,0.65779,6000,0.03672,0.7745900000000006,3.715719999999999,1.0,1.0,"[3, 4, 5, 6]",2,200,10
10,TSF_Dilation,DistalPhalanxTW,0.69065,3.35041,0.60648,6000,0.0349,0.7014800000000002,2.497989999999999,1.0,1.0,"[3, 4, 5, 6]",2,200,10
11,TSF_Dilation,ECG200,0.86,1.11466,0.5652,6000,0.03348,0.5366099999999997,0.43201,1.0,1.0,"[3, 4, 5, 6]",2,200,10
12,TSF_Dilation,ECGFiveDays,0.95587,0.81216,0.98984,6000,0.03635,0.4803599999999999,0.18536999999999987,1.0,1.0,"[3, 4, 5, 6]",2,200,10
13,TSF_Dilation,ItalyPowerDemand,0.97279,0.89557,0.97129,6000,0.03433,0.5000500000000002,0.2535299999999998,1.0,1.0,"[3, 4, 5, 6]",2,200,10
14,TSF_Dilation,MiddlePhalanxOutlineAgeGroup,0.59091,3.05741,0.61039,6000,0.03377,0.7020899999999991,2.20814,1.0,1.0,"[3, 4, 5, 6]",2,200,10
15,TSF_Dilation,MiddlePhalanxOutlineCorrect,0.84536,4.99378,0.67101,6000,0.03539,0.7880799999999999,4.058209999999997,1.0,1.0,"[3, 4, 5, 6]",2,200,10
16,TSF_Dilation,MiddlePhalanxTW,0.57143,4.26774,0.60675,6000,0.03806,0.6974099999999995,3.4220600000000005,1.0,1.0,"[3, 4, 5, 6]",2,200,10
17,TSF_Dilation,OliveOil,0.93333,0.85236,0.50636,6000,0.0346,0.4866000000000001,0.22254999999999991,1.0,1.0,"[3, 4, 5, 6]",2,200,10
18,TSF_Dilation,Plane,1.0,1.28575,0.56859,6000,0.03825,0.54739,0.5883099999999998,1.0,1.0,"[3, 4, 5, 6]",2,200,10
19,TSF_Dilation,ProximalPhalanxOutlineAgeGroup,0.85366,2.94748,0.64223,6000,0.03437,0.7052400000000004,2.0924600000000018,1.0,1.0,"[3, 4, 5, 6]",2,200,10
20,TSF_Dilation,ProximalPhalanxOutlineCorrect,0.88316,4.50498,0.6981,6000,0.03613,0.8163900000000007,3.533689999999996,1.0,1.0,"[3, 4, 5, 6]",2,200,10
21,TSF_Dilation,ProximalPhalanxTW,0.81463,3.38004,0.63257,6000,0.03505,0.68776,2.5469600000000003,1.0,1.0,"[3, 4, 5, 6]",2,200,10
22,TSF_Dilation,SyntheticControl,0.99333,2.79309,0.69929,6000,0.03456,0.6587499999999997,1.9868899999999996,1.0,1.0,"[3, 4, 5, 6]",2,200,10
23,TSF_Dilation,TwoLeadECG,0.89377,0.80137,1.10559,6000,0.03506,0.47048999999999985,0.1870399999999999,1.0,1.0,"[3, 4, 5, 6]",2,200,10
24,TSF_Dilation,Wine,0.74074,0.94925,0.53859,6000,0.03389,0.5112699999999999,0.29525,1.0,1.0,"[3, 4, 5, 6]",2,200,10
0,TSF_Dilation,ArrowHead,0.78857,1.40269,0.93247,9000,0.0528,0.7344500000000003,0.3521699999999998,1.0,1.0,"[3, 4, 5, 6]",2,300,10
1,TSF_Dilation,Beef,0.8,1.41215,0.79849,9000,0.06082,0.7706399999999992,0.4085200000000001,1.0,1.0,"[3, 4, 5, 6]",2,300,10
2,TSF_Dilation,BeetleFly,0.9,1.23971,0.74818,9000,0.05839,0.7280900000000003,0.28295999999999966,1.0,1.0,"[3, 4, 5, 6]",2,300,10
3,TSF_Dilation,BirdChicken,0.8,1.21664,0.75556,9000,0.05139,0.7154100000000008,0.2837099999999998,1.0,1.0,"[3, 4, 5, 6]",2,300,10
4,TSF_Dilation,Car,0.78333,1.65797,0.84268,9000,0.05215,0.8098999999999996,0.6261599999999999,1.0,1.0,"[3, 4, 5, 6]",2,300,10
5,TSF_Dilation,CBF,0.94,1.27053,1.4818,9000,0.0507,0.7341499999999997,0.32601000000000013,1.0,1.0,"[3, 4, 5, 6]",2,300,10
6,TSF_Dilation,Coffee,1.0,1.22356,0.76683,9000,0.0561,0.7289099999999995,0.2737700000000003,1.0,1.0,"[3, 4, 5, 6]",2,300,10
7,TSF_Dilation,DiatomSizeReduction,0.95098,1.21785,1.13688,9000,0.05761,0.7087799999999999,0.27863,1.0,1.0,"[3, 4, 5, 6]",2,300,10
8,TSF_Dilation,DistalPhalanxOutlineAgeGroup,0.7554,4.30092,0.88564,9000,0.05402,1.0541300000000002,3.0101199999999997,1.0,1.0,"[3, 4, 5, 6]",2,300,10
9,TSF_Dilation,DistalPhalanxOutlineCorrect,0.78261,6.96606,0.9992,9000,0.05116,1.1951600000000009,5.545619999999995,1.0,1.0,"[3, 4, 5, 6]",2,300,10
10,TSF_Dilation,DistalPhalanxTW,0.68345,5.13069,0.89941,9000,0.0515,1.0862000000000005,3.807089999999997,1.0,1.0,"[3, 4, 5, 6]",2,300,10
11,TSF_Dilation,ECG200,0.86,1.71147,0.84636,9000,0.05418,0.8102400000000003,0.6266899999999999,1.0,1.0,"[3, 4, 5, 6]",2,300,10
12,TSF_Dilation,ECGFiveDays,0.95935,1.21987,1.46907,9000,0.05654,0.7201099999999997,0.28081999999999996,1.0,1.0,"[3, 4, 5, 6]",2,300,10
13,TSF_Dilation,ItalyPowerDemand,0.97279,1.38911,1.50866,9000,0.05544,0.7815099999999996,0.3853900000000002,1.0,1.0,"[3, 4, 5, 6]",2,300,10
