,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,num_of_random_dilations,window_sizes,norm_options,word_length,dilation_algo
24,BOSS_Dilation,Wine,0.81481,87.87518,27.72264,200,"[7, 9, 11]","[True, False]","[8, 4]",length/2 dilation
25,BOSS_Dilation,DiatomSizeReduction,0.9281,32.77821,132.2564,200,"[7, 9, 11]","[True, False]","[8, 4]",length/2 dilation
26,BOSS_Dilation,DistalPhalanxOutlineAgeGroup,0.72662,615.85904,84.74535,200,"[7, 9, 11]","[True, False]","[8, 4]",length/2 dilation
27,BOSS_Dilation,DistalPhalanxOutlineCorrect,0.73551,1221.68475,194.95445,200,"[7, 9, 11]","[True, False]","[8, 4]",length/2 dilation
28,BOSS_Dilation,DistalPhalanxTW,0.66187,616.82227,89.40939,200,"[7, 9, 11]","[True, False]","[8, 4]",length/2 dilation
29,BOSS_Dilation,ECG200,0.86,92.63329,12.46137,200,"[7, 9, 11]","[True, False]","[8, 4]",length/2 dilation
30,BOSS_Dilation,ECGFiveDays,0.97793,22.44278,11.64451,200,"[7, 9, 11]","[True, False]","[8, 4]",length/2 dilation
31,BOSS_Dilation,MiddlePhalanxOutlineAgeGroup,0.55844,593.19914,95.91851,200,"[7, 9, 11]","[True, False]","[8, 4]",length/2 dilation
32,BOSS_Dilation,MiddlePhalanxOutlineCorrect,0.78351,1156.58511,193.87918,200,"[7, 9, 11]","[True, False]","[8, 4]",length/2 dilation
33,BOSS_Dilation,MiddlePhalanxTW,0.54545,614.3232,93.67622,200,"[7, 9, 11]","[True, False]","[8, 4]",length/2 dilation
34,BOSS_Dilation,ALL_AVERAGE,0.8159255882352942,379.7261067647059,76.52701794117645,200,"[7, 9, 11]","[True, False]","[8, 4]",length/2 dilation
0,BOSS_Dilation,ArrowHead,0.82857,57.22153,18.1482,200,"[9, 11]","[True, False]","[8, 4]",ROCKET
1,BOSS_Dilation,Beef,0.7,83.81516,1.11981,200,"[9, 11]","[True, False]","[8, 4]",ROCKET
2,BOSS_Dilation,BeetleFly,1.0,60.45428,6.335,200,"[9, 11]","[True, False]","[8, 4]",ROCKET
3,BOSS_Dilation,BirdChicken,0.95,59.01919,8.37495,200,"[9, 11]","[True, False]","[8, 4]",ROCKET
4,BOSS_Dilation,Car,0.88333,198.95703,7.30869,200,"[9, 11]","[True, False]","[8, 4]",ROCKET
5,BOSS_Dilation,CBF,0.98444,27.11405,148.25236,200,"[9, 11]","[True, False]","[8, 4]",ROCKET
6,BOSS_Dilation,Coffee,0.96429,48.64243,13.69699,200,"[9, 11]","[True, False]","[8, 4]",ROCKET
7,BOSS_Dilation,DiatomSizeReduction,0.89216,31.26267,123.93657,200,"[9, 11]","[True, False]","[8, 4]",ROCKET
8,BOSS_Dilation,DistalPhalanxOutlineAgeGroup,0.73381,566.82244,85.38131,200,"[9, 11]","[True, False]","[8, 4]",ROCKET
9,BOSS_Dilation,DistalPhalanxOutlineCorrect,0.72464,1114.91163,168.88502,200,"[9, 11]","[True, False]","[8, 4]",ROCKET
10,BOSS_Dilation,DistalPhalanxTW,0.65468,559.97645,84.11005,200,"[9, 11]","[True, False]","[8, 4]",ROCKET
11,BOSS_Dilation,ECG200,0.84,87.61714,14.2426,200,"[9, 11]","[True, False]","[8, 4]",ROCKET
12,BOSS_Dilation,ECGFiveDays,0.97793,21.22468,12.50987,200,"[9, 11]","[True, False]","[8, 4]",ROCKET
13,BOSS_Dilation,ItalyPowerDemand,0.91156,24.27897,135.54965,200,"[9, 11]","[True, False]","[8, 4]",ROCKET
14,BOSS_Dilation,MiddlePhalanxOutlineAgeGroup,0.51948,544.34032,91.59141,200,"[9, 11]","[True, False]","[8, 4]",ROCKET
15,BOSS_Dilation,MiddlePhalanxOutlineCorrect,0.80069,1050.82847,176.08138,200,"[9, 11]","[True, False]","[8, 4]",ROCKET
16,BOSS_Dilation,MiddlePhalanxTW,0.50649,561.95512,95.63736,200,"[9, 11]","[True, False]","[8, 4]",ROCKET
17,BOSS_Dilation,OliveOil,0.86667,97.01243,5.65639,200,"[9, 11]","[True, False]","[8, 4]",ROCKET
18,BOSS_Dilation,Plane,1.0,114.51935,46.26292,200,"[9, 11]","[True, False]","[8, 4]",ROCKET
19,BOSS_Dilation,ProximalPhalanxOutlineAgeGroup,0.86341,523.12723,135.69213,200,"[9, 11]","[True, False]","[8, 4]",ROCKET
20,BOSS_Dilation,ProximalPhalanxOutlineCorrect,0.84192,1051.15238,181.7258,200,"[9, 11]","[True, False]","[8, 4]",ROCKET
21,BOSS_Dilation,ProximalPhalanxTW,0.78537,544.26437,49.90405,200,"[9, 11]","[True, False]","[8, 4]",ROCKET
22,BOSS_Dilation,SyntheticControl,0.84,335.29822,53.96655,200,"[9, 11]","[True, False]","[8, 4]",ROCKET
