,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,num_of_random_dilations,win_lengths,norm_options,word_lengths,alphabet_size,feature_selection,max_feature_count
10,CBOSS_Dilation,DistalPhalanxTW,0.64029,2.39226,6.96646,128.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,256
11,CBOSS_Dilation,ECG200,0.82,1.52975,4.92255,32.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,256
12,CBOSS_Dilation,ECGFiveDays,0.88734,1.33212,38.02678,32.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,256
13,CBOSS_Dilation,ItalyPowerDemand,0.93586,1.31631,26.36076,128.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,256
14,CBOSS_Dilation,MiddlePhalanxOutlineAgeGroup,0.57792,2.42355,7.59034,128.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,256
15,CBOSS_Dilation,MiddlePhalanxOutlineCorrect,0.7079,3.19389,14.36934,32.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,256
16,CBOSS_Dilation,MiddlePhalanxTW,0.56494,2.44605,7.74077,32.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,256
17,CBOSS_Dilation,OliveOil,0.86667,1.54279,1.87871,32.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,256
18,CBOSS_Dilation,Plane,1.0,1.59318,5.12387,32.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,256
19,CBOSS_Dilation,ProximalPhalanxOutlineAgeGroup,0.86341,2.42345,9.96956,128.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,256
20,CBOSS_Dilation,ProximalPhalanxOutlineCorrect,0.79381,3.05164,14.189,128.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,256
21,CBOSS_Dilation,ProximalPhalanxTW,0.7561,2.39129,10.0986,32.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,256
22,CBOSS_Dilation,SyntheticControl,0.98,2.00911,13.79372,32.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,256
23,CBOSS_Dilation,TwoLeadECG,0.93327,1.4306,49.72361,32.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,256
24,CBOSS_Dilation,Wine,0.61111,1.46432,2.83785,128.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,256
25,CBOSS_Dilation,ALL_AVERAGE,0.8063495999999999,1.9078435999999999,12.277194000000001,70.4,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,256
0,CBOSS_Dilation,ArrowHead,0.84,0.33956,8.07946,32.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,512
1,CBOSS_Dilation,Beef,0.73333,0.3601,1.57218,32.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,512
2,CBOSS_Dilation,BeetleFly,0.8,0.33571,1.07264,128.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,512
3,CBOSS_Dilation,BirdChicken,0.8,0.32539,1.08845,32.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,512
4,CBOSS_Dilation,Car,0.81667,0.63351,3.12726,128.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,512
5,CBOSS_Dilation,CBF,0.99778,0.27769,38.86978,128.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,512
6,CBOSS_Dilation,Coffee,0.96429,0.30359,1.3527,128.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,512
7,CBOSS_Dilation,DiatomSizeReduction,0.91176,0.28038,14.38258,128.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,512
8,CBOSS_Dilation,DistalPhalanxOutlineAgeGroup,0.70504,1.29961,6.52603,128.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,512
9,CBOSS_Dilation,DistalPhalanxOutlineCorrect,0.7029,1.96844,13.41221,32.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,512
10,CBOSS_Dilation,DistalPhalanxTW,0.64748,1.27276,6.65566,128.0,2,"[28, 24, 20, 16, 12]","[True, False]","[4, 6]",2,none,512
