,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,get_intervals_time,transform_time,fit_randomforest_time,n_intervals_prop,interval_length_prop,interval_lengths,dilations_per_interval,n_estimators,n_intervals
0,TSF,ALL_AVERAGE,0.8201588,2.0967628,0.9472016,37.32,0,0,0,-1.0,-1.0,base clf,-1.0,200,-1
0,TSF_Dilation,ALL_AVERAGE,0.7130596,2.0227383999999997,0.7750056,30.6,0,0,0,0.8,1.0,[0],1.0,200,0
0,TSF_Dilation,ALL_AVERAGE,0.7295836000000001,2.3348184,0.9362856,37.32,0,0,0,1.0,1.0,[0],1.0,200,0
0,TSF_Dilation,ALL_AVERAGE,0.7245039999999999,2.8241275999999997,1.1338472,45.6,0,0,0,1.2,1.0,[0],1.0,200,0
0,TSF_Dilation,ALL_AVERAGE,0.7177336000000001,3.220984,1.3152408,53.52,0,0,0,1.4,1.0,[0],1.0,200,0
0,TSF_Dilation,ALL_AVERAGE,0.7279288000000002,4.077832,1.6908231999999999,69.72,0,0,0,1.8,1.0,[0],1.0,200,0
0,TSF_Dilation,ALL_AVERAGE,0.7271464000000001,6.4705412,2.7983972,116.28,0,0,0,3.0,1.0,[0],1.0,200,0
0,TSF_Dilation,ALL_AVERAGE,0.7084652,20.6482972,9.280611200000001,392.64,0,0,0,10.0,1.0,[0],1.0,200,0
