,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,num_of_random_dilations_per_win_size,win_lengths,norm_options,word_lengths,alphabet_size,feature_selection,max_feature_count
11,CBOSS_Dilation,ECG200,0.82,10.6231,5.18551,62,1,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
12,CBOSS_Dilation,ECGFiveDays,0.98142,9.43688,39.46573,1,1,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
13,CBOSS_Dilation,ItalyPowerDemand,0.80175,3.2349,31.22399,3,1,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
14,CBOSS_Dilation,MiddlePhalanxOutlineAgeGroup,0.6039,14.99865,8.63994,245,1,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
15,CBOSS_Dilation,MiddlePhalanxOutlineCorrect,0.79038,26.88732,15.03559,86,1,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
16,CBOSS_Dilation,MiddlePhalanxTW,0.55844,14.9307,9.43575,129,1,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
17,CBOSS_Dilation,OliveOil,0.86667,16.86476,1.85871,38,1,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
18,CBOSS_Dilation,Plane,1.0,14.7842,6.49358,1173,1,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
19,CBOSS_Dilation,ProximalPhalanxOutlineAgeGroup,0.8439,15.17739,12.15136,673,1,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
20,CBOSS_Dilation,ProximalPhalanxOutlineCorrect,0.88316,22.39085,16.63214,371,1,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
21,CBOSS_Dilation,ProximalPhalanxTW,0.81951,15.79087,11.97729,1000,1,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
22,CBOSS_Dilation,SyntheticControl,0.82667,9.86653,13.22552,2,1,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
23,CBOSS_Dilation,TwoLeadECG,0.98068,5.27493,48.60038,11,1,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
24,CBOSS_Dilation,Wine,0.83333,15.57475,2.78426,17,1,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
0,CBOSS_Dilation,ArrowHead,0.84571,19.50318,11.04553,255,5,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
1,CBOSS_Dilation,Beef,0.7,26.15102,1.97538,705,5,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
2,CBOSS_Dilation,BeetleFly,0.95,28.31587,1.58247,435,5,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
3,CBOSS_Dilation,BirdChicken,0.9,28.9748,1.72127,545,5,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
4,CBOSS_Dilation,Car,0.8,41.27095,3.38492,5490,5,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
5,CBOSS_Dilation,CBF,0.99333,16.77388,46.27263,365,5,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
6,CBOSS_Dilation,Coffee,0.92857,13.19329,2.1619,385,5,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
7,CBOSS_Dilation,DiatomSizeReduction,0.87255,13.11527,17.48071,305,5,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
8,CBOSS_Dilation,DistalPhalanxOutlineAgeGroup,0.72662,66.52256,6.92942,3640,5,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
9,CBOSS_Dilation,DistalPhalanxOutlineCorrect,0.7029,145.53591,12.31641,1300,5,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
10,CBOSS_Dilation,DistalPhalanxTW,0.66187,71.2879,6.45566,8040,5,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
11,CBOSS_Dilation,ECG200,0.8,46.01492,6.00341,75,5,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
12,CBOSS_Dilation,ECGFiveDays,0.99303,15.19864,40.1331,160,5,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
13,CBOSS_Dilation,ItalyPowerDemand,0.8552,8.1047,43.24283,0,5,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
14,CBOSS_Dilation,MiddlePhalanxOutlineAgeGroup,0.61039,60.09042,8.34789,625,5,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
15,CBOSS_Dilation,MiddlePhalanxOutlineCorrect,0.79725,111.52678,13.21108,170,5,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
16,CBOSS_Dilation,MiddlePhalanxTW,0.51299,67.55961,7.31442,755,5,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
17,CBOSS_Dilation,OliveOil,0.86667,11.07964,2.30912,120,5,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
18,CBOSS_Dilation,Plane,1.0,42.77265,6.67923,5000,5,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
