,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,get_intervals_time,transform_time,fit_randomforest_time,n_intervals_prop,interval_length_prop,interval_lengths,dilations_per_interval,n_estimators,n_intervals
0,TSF,ALL_AVERAGE,0.8192144,2.0784275999999995,0.9532672,37.32,0,0,0,-1.0,-1.0,base clf,-1.0,200,-1
0,TSF_Dilation,ALL_AVERAGE,0.7184708,2.3098648,0.9438255999999999,37.32,0,0,0,1.0,1.0,[0],1.0,200,0
0,TSF_Dilation,ALL_AVERAGE,0.7247160000000001,2.3461807999999995,0.8042532,30.0,0,0,0,1.0,1.0,[0],1.0,200,10
0,TSF_Dilation,ALL_AVERAGE,0.7232084000000001,56.103080399999996,21.8868136,900.0,0,0,0,1.0,1.0,[0],1.0,200,300
0,TSF_Dilation,ALL_AVERAGE,0.6720707999999999,184.58721480000003,73.4492592,3000.0,0,0,0,1.0,1.0,[0],1.0,200,1000
0,TSF_Dilation,ALL_AVERAGE,0.608,545.2085112,219.1982528,9000.0,0,0,0,1.0,1.0,[0],1.0,200,3000
0,TSF_Dilation,ALL_AVERAGE,0.5874,907.4653816,361.724404,15000.0,0,0,0,1.0,1.0,[0],1.0,200,5000
