,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,get_intervals_time,transform_time,fit_randomforest_time,n_intervals_prop,interval_length_prop,interval_lengths,dilations_per_interval,n_estimators,n_intervals
9,TSF_Dilation,DistalPhalanxOutlineCorrect,0.42029,4.41481,0.59939,24,0.04314,0.99881,3.2597899999999993,1.0,1.0,[0],1.0,200,0
10,TSF_Dilation,DistalPhalanxTW,0.67626,3.09438,0.52625,24,0.0428,0.8135800000000002,2.12608,1.0,1.0,[0],1.0,200,0
11,TSF_Dilation,ECG200,0.83,1.18465,0.56994,27,0.05121,0.62756,0.3964900000000002,1.0,1.0,[0],1.0,200,0
12,TSF_Dilation,ECGFiveDays,0.91521,0.99192,1.51866,33,0.05806,0.63774,0.1858999999999999,1.0,1.0,[0],1.0,200,0
13,TSF_Dilation,ItalyPowerDemand,0.94947,0.55934,0.45488,12,0.02192,0.23139000000000015,0.19596999999999992,1.0,1.0,[0],1.0,200,0
14,TSF_Dilation,MiddlePhalanxOutlineAgeGroup,0.51299,2.82999,0.52577,24,0.04331,0.8179400000000001,1.8610799999999996,1.0,1.0,[0],1.0,200,0
15,TSF_Dilation,MiddlePhalanxOutlineCorrect,0.64948,4.70092,0.63787,24,0.04376,1.0145099999999996,3.5271500000000024,1.0,1.0,[0],1.0,200,0
16,TSF_Dilation,MiddlePhalanxTW,0.44156,3.93578,0.50978,24,0.04267,0.8301800000000006,2.9512299999999994,1.0,1.0,[0],1.0,200,0
17,TSF_Dilation,OliveOil,0.73333,2.28077,1.41395,69,0.12202,1.7538500000000001,0.2966800000000001,1.0,1.0,[0],1.0,200,0
18,TSF_Dilation,Plane,0.98095,1.67895,0.75825,36,0.06428,0.8974700000000001,0.6068399999999999,1.0,1.0,[0],1.0,200,0
19,TSF_Dilation,ProximalPhalanxOutlineAgeGroup,0.83415,2.7022,0.57967,24,0.04242,0.8154999999999997,1.7372800000000006,1.0,1.0,[0],1.0,200,0
20,TSF_Dilation,ProximalPhalanxOutlineCorrect,0.60481,4.41173,0.6434,24,0.04432,1.0031200000000002,3.252759999999999,1.0,1.0,[0],1.0,200,0
21,TSF_Dilation,ProximalPhalanxTW,0.81463,3.1109,0.56512,24,0.04342,0.8119599999999998,2.145880000000001,1.0,1.0,[0],1.0,200,0
22,TSF_Dilation,SyntheticControl,0.92,2.03164,0.55359,21,0.03801,0.6116200000000003,1.2724599999999997,1.0,1.0,[0],1.0,200,0
23,TSF_Dilation,TwoLeadECG,0.50044,0.84284,1.21719,27,0.0477,0.50366,0.18147999999999995,1.0,1.0,[0],1.0,200,0
24,TSF_Dilation,Wine,0.62963,1.63527,0.90365,45,0.08003,1.0745799999999999,0.3706599999999999,1.0,1.0,[0],1.0,200,0
0,TSF_Dilation,ArrowHead,0.49143,1.0709,0.83787,30,0.05392,0.6663500000000001,0.2432900000000001,1.0,1.0,[0],1.0,200,10
1,TSF_Dilation,Beef,0.43333,1.14559,0.60282,30,0.05411,0.7170199999999993,0.26746,1.0,1.0,[0],1.0,200,10
2,TSF_Dilation,BeetleFly,0.7,1.07501,0.6152,30,0.05677,0.72394,0.18425000000000014,1.0,1.0,[0],1.0,200,10
3,TSF_Dilation,BirdChicken,0.75,1.0821,0.60826,30,0.05696,0.72316,0.1888399999999999,1.0,1.0,[0],1.0,200,10
4,TSF_Dilation,Car,0.48333,1.55386,0.74715,30,0.05597,0.9865499999999999,0.40298000000000034,1.0,1.0,[0],1.0,200,10
5,TSF_Dilation,CBF,0.98889,0.99059,1.39586,30,0.05639,0.6116099999999997,0.2116700000000001,1.0,1.0,[0],1.0,200,10
6,TSF_Dilation,Coffee,0.89286,1.0034,0.58473,30,0.05486,0.6553999999999995,0.18355999999999995,1.0,1.0,[0],1.0,200,10
7,TSF_Dilation,DiatomSizeReduction,0.9281,0.96079,1.32513,30,0.05545,0.6181000000000005,0.17744000000000015,1.0,1.0,[0],1.0,200,10
8,TSF_Dilation,DistalPhalanxOutlineAgeGroup,0.73381,3.16899,0.63211,30,0.05665,1.0170199999999998,1.9861499999999987,1.0,1.0,[0],1.0,200,10
9,TSF_Dilation,DistalPhalanxOutlineCorrect,0.41667,5.42715,0.76255,30,0.05436,1.2818900000000002,3.975780000000001,1.0,1.0,[0],1.0,200,10
10,TSF_Dilation,DistalPhalanxTW,0.68345,3.77675,0.6567,30,0.05375,1.0505800000000005,2.561570000000001,1.0,1.0,[0],1.0,200,10
11,TSF_Dilation,ECG200,0.86,1.25333,0.60563,30,0.05448,0.6744199999999999,0.4157700000000001,1.0,1.0,[0],1.0,200,10
12,TSF_Dilation,ECGFiveDays,0.89779,1.00509,1.37646,30,0.05284,0.6286400000000003,0.20541999999999996,1.0,1.0,[0],1.0,200,10
13,TSF_Dilation,ItalyPowerDemand,0.95724,0.9875,1.0479,30,0.05155,0.5742799999999997,0.2530199999999999,1.0,1.0,[0],1.0,200,10
14,TSF_Dilation,MiddlePhalanxOutlineAgeGroup,0.52597,3.47398,0.66063,30,0.05361,1.04396,2.264599999999999,1.0,1.0,[0],1.0,200,10
15,TSF_Dilation,MiddlePhalanxOutlineCorrect,0.56014,5.88544,0.79284,30,0.05446,1.29236,4.419319999999998,1.0,1.0,[0],1.0,200,10
16,TSF_Dilation,MiddlePhalanxTW,0.48052,4.8911,0.68926,30,0.05293,1.0582699999999998,3.664030000000001,1.0,1.0,[0],1.0,200,10
17,TSF_Dilation,OliveOil,0.83333,1.16714,0.63854,30,0.05506,0.7744199999999994,0.2236199999999998,1.0,1.0,[0],1.0,200,10
18,TSF_Dilation,Plane,1.0,1.48836,0.64856,30,0.054,0.7719900000000002,0.5506400000000001,1.0,1.0,[0],1.0,200,10
19,TSF_Dilation,ProximalPhalanxOutlineAgeGroup,0.85854,3.26318,0.66029,30,0.05215,1.00803,2.092549999999999,1.0,1.0,[0],1.0,200,10
20,TSF_Dilation,ProximalPhalanxOutlineCorrect,0.62887,5.25954,0.71989,30,0.05438,1.218339999999999,3.872140000000003,1.0,1.0,[0],1.0,200,10
21,TSF_Dilation,ProximalPhalanxTW,0.79512,3.82742,0.71881,30,0.05332,1.0552000000000004,2.6084400000000003,1.0,1.0,[0],1.0,200,10
22,TSF_Dilation,SyntheticControl,0.92667,2.77512,0.79413,30,0.05663,0.9027199999999993,1.6933899999999986,1.0,1.0,[0],1.0,200,10
23,TSF_Dilation,TwoLeadECG,0.81036,0.90448,1.35172,30,0.05417,0.5590500000000002,0.18299000000000004,1.0,1.0,[0],1.0,200,10
24,TSF_Dilation,Wine,0.48148,1.21771,0.63329,30,0.05387,0.7445600000000001,0.3107699999999998,1.0,1.0,[0],1.0,200,10
0,TSF_Dilation,ArrowHead,0.56,23.24849,23.05251,900,1.59503,19.086519999999997,2.455059999999999,1.0,1.0,[0],1.0,200,300
1,TSF_Dilation,Beef,0.8,26.07561,17.1217,900,1.59603,21.477870000000003,2.8786000000000005,1.0,1.0,[0],1.0,200,300
2,TSF_Dilation,BeetleFly,0.65,22.25372,16.08248,900,1.69925,19.576140000000002,0.86541,1.0,1.0,[0],1.0,200,300
