,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,n_shapelet_samples,max_shapelet_length,max_shapelets
10,STC_Dilation,DistalPhalanxTW,0.68345,174.39518,16.26995,5000,10000,,5000
11,STC_Dilation,ECG200,0.86,23.37285,3.68617,5000,10000,,5000
12,STC_Dilation,ECGFiveDays,0.99535,9.7791,7.48557,5000,10000,,5000
13,STC_Dilation,ItalyPowerDemand,0.9621,11.25335,10.32858,5000,10000,,5000
14,STC_Dilation,MiddlePhalanxOutlineAgeGroup,0.57143,171.92731,17.79947,5000,10000,,5000
15,STC_Dilation,MiddlePhalanxOutlineCorrect,0.84536,381.67918,41.18033,5000,10000,,5000
16,STC_Dilation,MiddlePhalanxTW,0.55195,190.85721,17.3408,5000,10000,,5000
17,STC_Dilation,OliveOil,0.83333,26.84854,1.42206,5000,10000,,5000
18,STC_Dilation,Plane,1.0,35.41975,5.18063,5000,10000,,5000
19,STC_Dilation,ProximalPhalanxOutlineAgeGroup,0.83415,162.48753,21.56036,5000,10000,,5000
20,STC_Dilation,ProximalPhalanxOutlineCorrect,0.86598,388.95998,41.10189,5000,10000,,5000
21,STC_Dilation,ProximalPhalanxTW,0.79512,173.07338,21.5764,5000,10000,,5000
22,STC_Dilation,SyntheticControl,0.99667,94.68899,19.91894,5000,10000,,5000
23,STC_Dilation,TwoLeadECG,0.98859,8.18123,7.41592,5000,10000,,5000
24,STC_Dilation,Wine,0.81481,23.59981,2.96941,5000,10000,,5000
0,STC_Dilation,ArrowHead,0.81714,23.19173,4.27972,10000,10000,,10000
1,STC_Dilation,Beef,0.7,37.21526,1.63966,10000,10000,,10000
2,STC_Dilation,BeetleFly,0.9,40.22892,1.06175,10000,10000,,10000
3,STC_Dilation,BirdChicken,0.85,36.53715,1.03018,10000,10000,,10000
4,STC_Dilation,Car,0.83333,79.26687,4.14244,10000,10000,,10000
5,STC_Dilation,CBF,0.97444,12.78971,8.76258,10000,10000,,10000
6,STC_Dilation,Coffee,0.96429,15.49831,0.86565,10000,10000,,10000
7,STC_Dilation,DiatomSizeReduction,0.97712,16.49415,4.74074,10000,10000,,10000
8,STC_Dilation,DistalPhalanxOutlineAgeGroup,0.72662,164.43941,15.61603,10000,10000,,10000
9,STC_Dilation,DistalPhalanxOutlineCorrect,0.77899,373.86641,39.15414,10000,10000,,10000
10,STC_Dilation,DistalPhalanxTW,0.69065,174.09128,16.31506,10000,10000,,10000
11,STC_Dilation,ECG200,0.85,23.74401,3.72757,10000,10000,,10000
12,STC_Dilation,ECGFiveDays,0.99652,9.51792,6.66986,10000,10000,,10000
13,STC_Dilation,ItalyPowerDemand,0.96793,11.03737,9.5903,10000,10000,,10000
14,STC_Dilation,MiddlePhalanxOutlineAgeGroup,0.54545,171.12168,17.29604,10000,10000,,10000
15,STC_Dilation,MiddlePhalanxOutlineCorrect,0.85223,371.38277,39.25603,10000,10000,,10000
16,STC_Dilation,MiddlePhalanxTW,0.55195,189.71442,16.57405,10000,10000,,10000
17,STC_Dilation,OliveOil,0.83333,25.9426,1.32467,10000,10000,,10000
18,STC_Dilation,Plane,1.0,34.35293,4.91381,10000,10000,,10000
19,STC_Dilation,ProximalPhalanxOutlineAgeGroup,0.82927,162.94063,21.47406,10000,10000,,10000
20,STC_Dilation,ProximalPhalanxOutlineCorrect,0.89003,366.80669,38.92139,10000,10000,,10000
21,STC_Dilation,ProximalPhalanxTW,0.78537,175.76721,22.38282,10000,10000,,10000
22,STC_Dilation,SyntheticControl,0.99667,93.76055,19.40617,10000,10000,,10000
23,STC_Dilation,TwoLeadECG,0.98946,8.62693,7.2639,10000,10000,,10000
24,STC_Dilation,Wine,0.90741,25.07111,3.24861,10000,10000,,10000
0,STC_Dilation,ArrowHead,0.75429,23.01514,4.14581,10000,10000,,15000
1,STC_Dilation,Beef,0.83333,36.72465,1.51153,10000,10000,,15000
2,STC_Dilation,BeetleFly,0.8,39.86131,0.95256,10000,10000,,15000
3,STC_Dilation,BirdChicken,0.9,36.43307,1.12053,10000,10000,,15000
4,STC_Dilation,Car,0.88333,80.24581,4.31553,10000,10000,,15000
5,STC_Dilation,CBF,0.97667,12.6345,9.06639,10000,10000,,15000
6,STC_Dilation,Coffee,0.96429,15.37067,0.87706,10000,10000,,15000
7,STC_Dilation,DiatomSizeReduction,0.9281,16.64579,4.58267,10000,10000,,15000
8,STC_Dilation,DistalPhalanxOutlineAgeGroup,0.73381,163.6285,15.48717,10000,10000,,15000
9,STC_Dilation,DistalPhalanxOutlineCorrect,0.80797,375.05888,38.7007,10000,10000,,15000
10,STC_Dilation,DistalPhalanxTW,0.69784,170.33256,15.75226,10000,10000,,15000
11,STC_Dilation,ECG200,0.86,24.34724,4.02664,10000,10000,,15000
12,STC_Dilation,ECGFiveDays,0.99535,9.47266,6.80165,10000,10000,,15000
13,STC_Dilation,ItalyPowerDemand,0.96599,10.96575,9.88053,10000,10000,,15000
14,STC_Dilation,MiddlePhalanxOutlineAgeGroup,0.55195,168.53263,17.94776,10000,10000,,15000
15,STC_Dilation,MiddlePhalanxOutlineCorrect,0.86598,377.15934,40.42141,10000,10000,,15000
16,STC_Dilation,MiddlePhalanxTW,0.53247,187.63165,16.64363,10000,10000,,15000
17,STC_Dilation,OliveOil,0.86667,26.35337,1.39698,10000,10000,,15000
18,STC_Dilation,Plane,1.0,35.40035,5.25157,10000,10000,,15000
19,STC_Dilation,ProximalPhalanxOutlineAgeGroup,0.82927,164.80633,21.83068,10000,10000,,15000
20,STC_Dilation,ProximalPhalanxOutlineCorrect,0.88316,375.21847,40.92427,10000,10000,,15000
21,STC_Dilation,ProximalPhalanxTW,0.80488,181.01666,23.06923,10000,10000,,15000
22,STC_Dilation,SyntheticControl,0.99667,94.33949,19.59599,10000,10000,,15000
23,STC_Dilation,TwoLeadECG,0.98946,8.60758,7.62325,10000,10000,,15000
24,STC_Dilation,Wine,0.94444,24.61279,3.10504,10000,10000,,15000
