,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,num_of_random_dilations_per_win_size,win_lengths,norm_options,word_lengths,alphabet_size,feature_selection,max_feature_count
0,CBOSS,ALL_AVERAGE,0.8462616,6.650438,9.3504996,NULL,NULL,NULL,"[True, False]","[16, 14, 12, 10, 8]",4,none,256
0,CBOSS_Dilation,ALL_AVERAGE,0.8297083999999999,10.5033056,8.3030112,180.24,1,[0],"[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
