,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,n_intervals_prop,interval_length_prop,interval_lengths,num_of_random_dilations,n_estimators
18,TSF_Dilation,Plane,0.99048,2.4233,0.92756,7200,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",1,200
19,TSF_Dilation,ProximalPhalanxOutlineAgeGroup,0.82927,2.9976,0.61379,4800,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",1,200
20,TSF_Dilation,ProximalPhalanxOutlineCorrect,0.61856,5.01906,0.72239,4800,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",1,200
21,TSF_Dilation,ProximalPhalanxTW,0.80976,3.59012,0.68199,4800,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",1,200
22,TSF_Dilation,SyntheticControl,0.85,2.30938,0.60526,4200,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",1,200
23,TSF_Dilation,TwoLeadECG,0.68832,0.95266,1.51356,5400,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",1,200
24,TSF_Dilation,Wine,0.5,2.06809,1.01781,9000,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",1,200
0,TSF_Dilation,ArrowHead,0.41143,3.25143,2.42562,18000,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",2,200
1,TSF_Dilation,Beef,0.2,4.67249,2.24786,25200,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",2,200
2,TSF_Dilation,BeetleFly,0.7,4.36264,2.35784,26400,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",2,200
3,TSF_Dilation,BirdChicken,0.7,4.21905,2.64285,26400,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",2,200
4,TSF_Dilation,Car,0.23333,8.90303,3.31969,28800,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",2,200
5,TSF_Dilation,CBF,0.94111,1.99419,3.11523,13200,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",2,200
6,TSF_Dilation,Coffee,1.0,2.92005,1.77381,19200,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",2,200
7,TSF_Dilation,DiatomSizeReduction,0.85948,3.1263,3.48694,21600,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",2,200
8,TSF_Dilation,DistalPhalanxOutlineAgeGroup,0.7482,6.21953,1.18651,9600,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",2,200
9,TSF_Dilation,DistalPhalanxOutlineCorrect,0.41667,9.6413,1.31525,9600,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",2,200
10,TSF_Dilation,DistalPhalanxTW,0.69065,6.66427,1.17046,9600,1.0,1.0,"[3, 9, 19, 29, 39, 49, 59, 69, 79, 89, 99]",2,200
