,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,num_of_random_dilations_per_window,win_lengths,norm_options,word_lengths,alphabet_size,feature_selection,max_feature_count
14,CBOSS_Dilation,MiddlePhalanxOutlineAgeGroup,0.54545,29.58969,4.77055,2418,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]","[6, 8]",4,chi2,256
15,CBOSS_Dilation,MiddlePhalanxOutlineCorrect,0.73196,43.77424,9.47973,234,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]","[6, 8]",4,chi2,256
16,CBOSS_Dilation,MiddlePhalanxTW,0.47403,26.73744,5.20306,2132,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]","[6, 8]",4,chi2,256
17,CBOSS_Dilation,OliveOil,0.86667,11.92025,1.08771,299,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]","[6, 8]",4,chi2,256
18,CBOSS_Dilation,Plane,1.0,9.45592,3.44805,2626,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]","[6, 8]",4,chi2,256
19,CBOSS_Dilation,ProximalPhalanxOutlineAgeGroup,0.86341,24.37874,7.32241,2574,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]","[6, 8]",4,chi2,256
20,CBOSS_Dilation,ProximalPhalanxOutlineCorrect,0.83505,28.36845,10.12579,2236,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]","[6, 8]",4,chi2,256
21,CBOSS_Dilation,ProximalPhalanxTW,0.78537,26.83475,7.13888,2314,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]","[6, 8]",4,chi2,256
22,CBOSS_Dilation,SyntheticControl,0.90667,15.02102,8.97078,6955,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]","[6, 8]",4,chi2,256
23,CBOSS_Dilation,TwoLeadECG,0.93152,3.64113,33.21268,143,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]","[6, 8]",4,chi2,256
24,CBOSS_Dilation,Wine,0.83333,18.28927,1.69495,26,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]","[6, 8]",4,chi2,256
0,CBOSS_Dilation,ArrowHead,0.82286,6.26611,5.53168,793,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],2,chi2,256
1,CBOSS_Dilation,Beef,0.66667,3.13091,1.08386,832,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],2,chi2,256
2,CBOSS_Dilation,BeetleFly,0.75,6.80571,0.75054,1443,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],2,chi2,256
3,CBOSS_Dilation,BirdChicken,0.85,4.1692,0.74539,416,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],2,chi2,256
4,CBOSS_Dilation,Car,0.71667,17.90995,2.13727,910,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],2,chi2,256
5,CBOSS_Dilation,CBF,0.98667,2.47964,26.99618,533,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],2,chi2,256
6,CBOSS_Dilation,Coffee,0.89286,4.64332,0.917,156,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],2,chi2,256
7,CBOSS_Dilation,DiatomSizeReduction,0.87255,2.33813,9.4636,312,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],2,chi2,256
8,CBOSS_Dilation,DistalPhalanxOutlineAgeGroup,0.71942,13.65081,4.45771,468,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],2,chi2,256
9,CBOSS_Dilation,DistalPhalanxOutlineCorrect,0.75362,20.07101,9.41842,429,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],2,chi2,256
10,CBOSS_Dilation,DistalPhalanxTW,0.65468,13.82698,4.5876,598,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],2,chi2,256
11,CBOSS_Dilation,ECG200,0.83,4.45875,3.01967,247,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],2,chi2,256
12,CBOSS_Dilation,ECGFiveDays,0.99535,2.43595,25.33956,117,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],2,chi2,256
13,CBOSS_Dilation,ItalyPowerDemand,0.93489,1.07901,26.97189,182,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],2,chi2,256
14,CBOSS_Dilation,MiddlePhalanxOutlineAgeGroup,0.56494,13.63766,5.02893,611,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],2,chi2,256
15,CBOSS_Dilation,MiddlePhalanxOutlineCorrect,0.73196,18.94728,9.49811,78,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],2,chi2,256
16,CBOSS_Dilation,MiddlePhalanxTW,0.50649,13.54254,4.82433,663,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],2,chi2,256
17,CBOSS_Dilation,OliveOil,0.83333,6.23404,0.96989,13,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],2,chi2,256
18,CBOSS_Dilation,Plane,1.0,6.65657,3.3661,1404,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],2,chi2,256
19,CBOSS_Dilation,ProximalPhalanxOutlineAgeGroup,0.8,13.23704,6.30711,364,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],2,chi2,256
20,CBOSS_Dilation,ProximalPhalanxOutlineCorrect,0.8488,19.11589,9.4397,182,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],2,chi2,256
21,CBOSS_Dilation,ProximalPhalanxTW,0.77073,13.76845,6.51497,130,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],2,chi2,256
22,CBOSS_Dilation,SyntheticControl,0.93,6.95409,9.58379,1300,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],2,chi2,256
23,CBOSS_Dilation,TwoLeadECG,0.95698,2.83405,31.70478,0,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],2,chi2,256
24,CBOSS_Dilation,Wine,0.62963,8.51743,1.40684,39,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],2,chi2,256
0,CBOSS_Dilation,ArrowHead,0.80571,6.97377,5.63162,1755,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],4,chi2,256
1,CBOSS_Dilation,Beef,0.66667,12.20925,1.09907,5603,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],4,chi2,256
2,CBOSS_Dilation,BeetleFly,0.8,4.94588,0.70441,1183,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],4,chi2,256
3,CBOSS_Dilation,BirdChicken,0.9,7.43835,0.74495,6019,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],4,chi2,256
4,CBOSS_Dilation,Car,0.85,24.3134,2.24955,6617,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],4,chi2,256
5,CBOSS_Dilation,CBF,0.95889,3.04076,25.6903,871,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],4,chi2,256
6,CBOSS_Dilation,Coffee,0.89286,4.5898,0.98889,871,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],4,chi2,256
7,CBOSS_Dilation,DiatomSizeReduction,0.86928,4.58713,10.04951,845,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],4,chi2,256
8,CBOSS_Dilation,DistalPhalanxOutlineAgeGroup,0.74101,16.40784,4.79449,5499,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],4,chi2,256
9,CBOSS_Dilation,DistalPhalanxOutlineCorrect,0.69928,29.87609,9.36354,1079,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],4,chi2,256
10,CBOSS_Dilation,DistalPhalanxTW,0.63309,16.86861,4.66985,5525,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],4,chi2,256
11,CBOSS_Dilation,ECG200,0.8,5.83327,3.09084,741,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],4,chi2,256
12,CBOSS_Dilation,ECGFiveDays,0.9489,5.19096,25.01718,221,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],4,chi2,256
13,CBOSS_Dilation,ItalyPowerDemand,0.82799,1.40985,25.95161,0,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],4,chi2,256
14,CBOSS_Dilation,MiddlePhalanxOutlineAgeGroup,0.55844,15.78496,5.04854,2054,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],4,chi2,256
15,CBOSS_Dilation,MiddlePhalanxOutlineCorrect,0.75601,24.57978,9.59473,1092,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],4,chi2,256
16,CBOSS_Dilation,MiddlePhalanxTW,0.51948,16.2962,5.28177,5837,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],4,chi2,256
17,CBOSS_Dilation,OliveOil,0.9,12.12598,1.10311,403,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],4,chi2,256
18,CBOSS_Dilation,Plane,1.0,15.20491,3.57936,3094,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],4,chi2,256
19,CBOSS_Dilation,ProximalPhalanxOutlineAgeGroup,0.80488,15.60403,6.95841,2041,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],4,chi2,256
20,CBOSS_Dilation,ProximalPhalanxOutlineCorrect,0.8488,23.77304,9.734,299,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],4,chi2,256
21,CBOSS_Dilation,ProximalPhalanxTW,0.74146,15.5241,6.825,5460,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],4,chi2,256
22,CBOSS_Dilation,SyntheticControl,0.81667,9.76825,8.61266,6006,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],4,chi2,256
23,CBOSS_Dilation,TwoLeadECG,0.95786,3.17739,32.58038,208,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],4,chi2,256
24,CBOSS_Dilation,Wine,0.81481,8.94256,1.77945,117,13,"[100, 90, 80, 70, 60, 50, 40, 30, 20, 12]","[True, False]",[8],4,chi2,256
0,CBOSS_Dilation,ArrowHead,0.78857,9.34146,5.50288,468,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",2,chi2,256
1,CBOSS_Dilation,Beef,0.66667,2.85248,1.06012,52,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",2,chi2,256
2,CBOSS_Dilation,BeetleFly,0.75,3.5924,0.70382,351,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",2,chi2,256
3,CBOSS_Dilation,BirdChicken,0.75,2.97174,0.73815,338,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",2,chi2,256
4,CBOSS_Dilation,Car,0.8,6.52728,2.06606,182,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",2,chi2,256
5,CBOSS_Dilation,CBF,0.96222,3.6119,26.59487,156,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",2,chi2,256
6,CBOSS_Dilation,Coffee,0.92857,5.23826,0.93481,65,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",2,chi2,256
7,CBOSS_Dilation,DiatomSizeReduction,0.84967,4.18363,9.02772,78,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",2,chi2,256
8,CBOSS_Dilation,DistalPhalanxOutlineAgeGroup,0.69784,25.2219,4.46712,26,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",2,chi2,256
9,CBOSS_Dilation,DistalPhalanxOutlineCorrect,0.71014,34.76553,8.88514,78,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",2,chi2,256
10,CBOSS_Dilation,DistalPhalanxTW,0.58993,11.49008,4.44434,624,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",2,chi2,256
11,CBOSS_Dilation,ECG200,0.81,11.13192,3.07008,260,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",2,chi2,256
12,CBOSS_Dilation,ECGFiveDays,0.98374,2.85973,24.9559,91,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",2,chi2,256
13,CBOSS_Dilation,ItalyPowerDemand,0.92614,1.99573,28.91672,130,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",2,chi2,256
14,CBOSS_Dilation,MiddlePhalanxOutlineAgeGroup,0.50649,24.72503,4.8494,143,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",2,chi2,256
15,CBOSS_Dilation,MiddlePhalanxOutlineCorrect,0.58076,32.08678,9.05768,91,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",2,chi2,256
16,CBOSS_Dilation,MiddlePhalanxTW,0.51948,22.19744,4.72068,273,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",2,chi2,256
17,CBOSS_Dilation,OliveOil,0.8,18.56289,0.97739,39,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",2,chi2,256
18,CBOSS_Dilation,Plane,1.0,6.19561,3.31543,663,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",2,chi2,256
19,CBOSS_Dilation,ProximalPhalanxOutlineAgeGroup,0.80976,24.42148,6.21985,52,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",2,chi2,256
20,CBOSS_Dilation,ProximalPhalanxOutlineCorrect,0.78351,34.94004,8.94063,143,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",2,chi2,256
21,CBOSS_Dilation,ProximalPhalanxTW,0.70244,24.04156,6.23455,91,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",2,chi2,256
22,CBOSS_Dilation,SyntheticControl,0.93,12.62229,9.28527,403,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",2,chi2,256
23,CBOSS_Dilation,TwoLeadECG,0.90079,4.89522,30.42373,13,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",2,chi2,256
24,CBOSS_Dilation,Wine,0.55556,11.75036,1.41784,13,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",2,chi2,256
0,CBOSS_Dilation,ArrowHead,0.78857,4.05258,5.70367,1339,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",4,chi2,256
1,CBOSS_Dilation,Beef,0.66667,3.01615,1.06714,91,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",4,chi2,256
2,CBOSS_Dilation,BeetleFly,0.9,4.16712,0.7359,6097,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",4,chi2,256
3,CBOSS_Dilation,BirdChicken,0.9,3.80769,0.75477,390,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",4,chi2,256
4,CBOSS_Dilation,Car,0.78333,19.11472,2.12088,3523,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",4,chi2,256
5,CBOSS_Dilation,CBF,0.99667,5.45844,26.0132,1014,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",4,chi2,256
6,CBOSS_Dilation,Coffee,0.96429,3.56735,0.92368,39,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",4,chi2,256
7,CBOSS_Dilation,DiatomSizeReduction,0.83007,4.34005,9.38165,507,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",4,chi2,256
8,CBOSS_Dilation,DistalPhalanxOutlineAgeGroup,0.74101,27.31579,4.69054,1625,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",4,chi2,256
9,CBOSS_Dilation,DistalPhalanxOutlineCorrect,0.74275,24.91247,9.39648,3419,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",4,chi2,256
10,CBOSS_Dilation,DistalPhalanxTW,0.64029,22.23443,4.7585,1781,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",4,chi2,256
11,CBOSS_Dilation,ECG200,0.78,9.76027,3.03342,845,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",4,chi2,256
12,CBOSS_Dilation,ECGFiveDays,0.99768,4.82664,24.74179,312,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",4,chi2,256
13,CBOSS_Dilation,ItalyPowerDemand,0.85714,2.29609,27.18463,208,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",4,chi2,256
14,CBOSS_Dilation,MiddlePhalanxOutlineAgeGroup,0.57792,27.43014,4.9237,442,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",4,chi2,256
15,CBOSS_Dilation,MiddlePhalanxOutlineCorrect,0.71821,36.92244,8.97828,624,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",4,chi2,256
16,CBOSS_Dilation,MiddlePhalanxTW,0.49351,27.81666,5.07007,845,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",4,chi2,256
17,CBOSS_Dilation,OliveOil,0.8,3.64438,1.01798,143,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",4,chi2,256
18,CBOSS_Dilation,Plane,1.0,4.02924,3.42856,1989,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",4,chi2,256
19,CBOSS_Dilation,ProximalPhalanxOutlineAgeGroup,0.82439,20.03157,6.86888,1027,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",4,chi2,256
20,CBOSS_Dilation,ProximalPhalanxOutlineCorrect,0.83162,39.0192,9.65427,247,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",4,chi2,256
21,CBOSS_Dilation,ProximalPhalanxTW,0.78049,27.50149,6.62089,650,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",4,chi2,256
22,CBOSS_Dilation,SyntheticControl,0.96667,14.47846,9.4533,3887,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",4,chi2,256
23,CBOSS_Dilation,TwoLeadECG,0.98683,3.30145,32.50324,143,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",4,chi2,256
24,CBOSS_Dilation,Wine,0.83333,19.44253,1.66794,143,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[4, 6]",4,chi2,256
0,CBOSS_Dilation,ArrowHead,0.8,6.40706,5.34185,494,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],2,chi2,256
1,CBOSS_Dilation,Beef,0.66667,3.40793,1.05387,455,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],2,chi2,256
2,CBOSS_Dilation,BeetleFly,0.7,7.10482,0.75337,351,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],2,chi2,256
3,CBOSS_Dilation,BirdChicken,0.9,3.12665,0.73825,299,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],2,chi2,256
4,CBOSS_Dilation,Car,0.73333,17.23224,2.05023,416,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],2,chi2,256
5,CBOSS_Dilation,CBF,0.97333,3.23049,26.2894,351,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],2,chi2,256
6,CBOSS_Dilation,Coffee,0.92857,2.89105,0.92475,143,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],2,chi2,256
7,CBOSS_Dilation,DiatomSizeReduction,0.87255,2.46207,9.22052,78,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],2,chi2,256
8,CBOSS_Dilation,DistalPhalanxOutlineAgeGroup,0.69784,13.14194,4.43769,130,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],2,chi2,256
9,CBOSS_Dilation,DistalPhalanxOutlineCorrect,0.73551,18.31114,8.79557,351,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],2,chi2,256
10,CBOSS_Dilation,DistalPhalanxTW,0.61151,12.9383,4.40288,390,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],2,chi2,256
11,CBOSS_Dilation,ECG200,0.81,5.84674,3.107,325,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],2,chi2,256
12,CBOSS_Dilation,ECGFiveDays,0.964,1.91167,25.50266,104,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],2,chi2,256
13,CBOSS_Dilation,ItalyPowerDemand,0.862,1.00347,26.70284,130,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],2,chi2,256
14,CBOSS_Dilation,MiddlePhalanxOutlineAgeGroup,0.52597,12.88163,4.65965,559,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],2,chi2,256
15,CBOSS_Dilation,MiddlePhalanxOutlineCorrect,0.58076,17.01572,8.11682,0,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],2,chi2,256
16,CBOSS_Dilation,MiddlePhalanxTW,0.55195,12.68364,4.77089,78,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],2,chi2,256
17,CBOSS_Dilation,OliveOil,0.83333,10.365,1.01231,39,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],2,chi2,256
18,CBOSS_Dilation,Plane,1.0,6.54195,3.33082,663,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],2,chi2,256
19,CBOSS_Dilation,ProximalPhalanxOutlineAgeGroup,0.85366,12.79834,6.65702,117,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],2,chi2,256
20,CBOSS_Dilation,ProximalPhalanxOutlineCorrect,0.75945,18.13611,9.30608,247,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],2,chi2,256
21,CBOSS_Dilation,ProximalPhalanxTW,0.74634,12.67839,6.32968,286,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],2,chi2,256
22,CBOSS_Dilation,SyntheticControl,0.95,6.59442,9.4693,806,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],2,chi2,256
23,CBOSS_Dilation,TwoLeadECG,0.75417,2.68699,31.70591,13,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],2,chi2,256
24,CBOSS_Dilation,Wine,0.72222,12.99315,1.38945,26,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],2,chi2,256
0,CBOSS_Dilation,ArrowHead,0.85143,10.98871,5.58112,3653,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],4,chi2,256
1,CBOSS_Dilation,Beef,0.7,5.63139,1.09208,5070,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],4,chi2,256
2,CBOSS_Dilation,BeetleFly,0.85,15.19989,0.75383,6825,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],4,chi2,256
3,CBOSS_Dilation,BirdChicken,0.85,4.9726,0.75259,1742,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],4,chi2,256
4,CBOSS_Dilation,Car,0.8,12.21095,2.19171,1105,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],4,chi2,256
5,CBOSS_Dilation,CBF,0.98556,4.82194,26.18617,1261,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],4,chi2,256
6,CBOSS_Dilation,Coffee,0.92857,4.31911,0.93625,364,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],4,chi2,256
7,CBOSS_Dilation,DiatomSizeReduction,0.76797,4.68281,9.50703,156,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],4,chi2,256
8,CBOSS_Dilation,DistalPhalanxOutlineAgeGroup,0.68345,14.58246,4.78635,3627,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],4,chi2,256
9,CBOSS_Dilation,DistalPhalanxOutlineCorrect,0.71739,22.64305,9.66209,741,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],4,chi2,256
10,CBOSS_Dilation,DistalPhalanxTW,0.65468,14.44195,4.58541,1872,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],4,chi2,256
11,CBOSS_Dilation,ECG200,0.84,7.65812,3.03448,247,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],4,chi2,256
12,CBOSS_Dilation,ECGFiveDays,0.98606,4.03509,25.07501,117,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],4,chi2,256
13,CBOSS_Dilation,ItalyPowerDemand,0.93586,1.2802,27.74529,26,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],4,chi2,256
14,CBOSS_Dilation,MiddlePhalanxOutlineAgeGroup,0.58442,14.44142,5.04758,1248,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],4,chi2,256
15,CBOSS_Dilation,MiddlePhalanxOutlineCorrect,0.72509,20.22025,9.53309,676,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],4,chi2,256
16,CBOSS_Dilation,MiddlePhalanxTW,0.50649,14.23436,5.04169,741,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],4,chi2,256
17,CBOSS_Dilation,OliveOil,0.86667,6.18152,1.08001,221,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],4,chi2,256
18,CBOSS_Dilation,Plane,1.0,10.46152,3.55944,4550,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],4,chi2,256
19,CBOSS_Dilation,ProximalPhalanxOutlineAgeGroup,0.79024,14.33352,6.76655,1482,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],4,chi2,256
20,CBOSS_Dilation,ProximalPhalanxOutlineCorrect,0.83162,20.82387,9.81418,403,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],4,chi2,256
21,CBOSS_Dilation,ProximalPhalanxTW,0.8,14.38178,7.06061,1118,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],4,chi2,256
22,CBOSS_Dilation,SyntheticControl,0.9,7.92924,9.20286,6162,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],4,chi2,256
23,CBOSS_Dilation,TwoLeadECG,0.97454,3.19732,33.23815,130,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],4,chi2,256
24,CBOSS_Dilation,Wine,0.81481,14.93298,1.70781,91,13,"[20, 40, 60, 80, 100, 120]","[True, False]",[6],4,chi2,256
0,CBOSS_Dilation,ArrowHead,0.76571,7.32874,5.43058,377,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[6, 8]",2,chi2,256
1,CBOSS_Dilation,Beef,0.7,6.48183,1.02338,546,13,"[20, 40, 60, 80, 100, 120]","[True, False]","[6, 8]",2,chi2,256
