,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,n_shapelet_samples,max_shapelet_length,max_shapelets
0,STC,ALL_AVERAGE,0.852542,93.35150399999999,10.8105948,NULL,10000 without dilation,None,None
0,STC_Dilation,ALL_AVERAGE,0.8427304,106.24526320000001,12.622665999999999,10000.0,10000,,10000
0,STC_Dilation,ALL_AVERAGE,0.8416168,306.0052884,49.4253044,10000.0,10000,7,10000
0,STC_Dilation,ALL_AVERAGE,0.8416459999999999,272.9738304,43.4564688,10000.0,10000,9,10000
0,STC_Dilation,ALL_AVERAGE,0.8332655999999998,249.74979760000002,38.5480972,10000.0,10000,11,10000
0,STC_Dilation,ALL_AVERAGE,0.8597563999999999,189.24429800000001,27.6973308,10000.0,10000,20,10000
0,STC_Dilation,ALL_AVERAGE,0.8536464000000001,158.7468036,22.3571048,10000.0,10000,30,10000
0,STC_Dilation,ALL_AVERAGE,0.8606996000000001,139.29079120000003,18.960696799999997,10000.0,10000,40,10000
0,STC_Dilation,ALL_AVERAGE,0.8612239999999999,108.011184,13.704632800000002,10000.0,10000,80,10000
