,Classifier,Dataset,Accuracy,Fit-Time,Predict-Time,total_feature_count,dilations_per_param_comb,win_lengths,norm_options,word_lengths,alphabet_size,feature_selection,max_feature_count
10,CBOSS_Dilation,DistalPhalanxTW,0.66906,10.13555,4.97858,51382,1,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
11,CBOSS_Dilation,ECG200,0.82,6.7435,2.92522,2391,1,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
12,CBOSS_Dilation,ECGFiveDays,0.99768,5.69592,25.39983,1004,1,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
13,CBOSS_Dilation,ItalyPowerDemand,0.83382,2.28852,20.57135,173,1,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
14,CBOSS_Dilation,MiddlePhalanxOutlineAgeGroup,0.61039,9.39626,5.27568,15503,1,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
15,CBOSS_Dilation,MiddlePhalanxOutlineCorrect,0.78694,17.20282,9.08049,8981,1,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
16,CBOSS_Dilation,MiddlePhalanxTW,0.51948,9.47519,5.2574,27627,1,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
17,CBOSS_Dilation,OliveOil,0.86667,12.42074,1.35366,2570,1,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
18,CBOSS_Dilation,Plane,1.0,9.34777,3.67574,36308,1,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
19,CBOSS_Dilation,ProximalPhalanxOutlineAgeGroup,0.8439,9.21013,7.15564,12185,1,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
20,CBOSS_Dilation,ProximalPhalanxOutlineCorrect,0.87973,15.81965,9.72942,12732,1,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
21,CBOSS_Dilation,ProximalPhalanxTW,0.8,8.95572,7.25205,30655,1,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
22,CBOSS_Dilation,SyntheticControl,0.88667,6.12802,7.62473,10771,1,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
23,CBOSS_Dilation,TwoLeadECG,0.97191,3.32408,32.7805,562,1,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
24,CBOSS_Dilation,Wine,0.88889,9.03378,1.93604,1335,1,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
0,CBOSS_Dilation,ArrowHead,0.81714,13.65749,5.95233,8323,3,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
1,CBOSS_Dilation,Beef,0.76667,11.429,1.31622,7880,3,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
2,CBOSS_Dilation,BeetleFly,0.85,13.20522,0.96664,6285,3,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
3,CBOSS_Dilation,BirdChicken,0.95,14.8643,0.97516,6179,3,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
4,CBOSS_Dilation,Car,0.8,29.8614,2.3964,31889,3,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
5,CBOSS_Dilation,CBF,0.99,8.93966,25.05309,2033,3,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
6,CBOSS_Dilation,Coffee,1.0,8.57291,1.19621,4197,3,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
7,CBOSS_Dilation,DiatomSizeReduction,0.85294,4.9601,10.82262,3885,3,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
8,CBOSS_Dilation,DistalPhalanxOutlineAgeGroup,0.72662,25.30111,4.67197,11178,3,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
9,CBOSS_Dilation,DistalPhalanxOutlineCorrect,0.75362,60.51267,8.79372,14492,3,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
10,CBOSS_Dilation,DistalPhalanxTW,0.69065,28.38238,4.9784,38515,3,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
11,CBOSS_Dilation,ECG200,0.79,15.91024,3.02937,3127,3,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
12,CBOSS_Dilation,ECGFiveDays,0.99535,10.36417,25.45371,787,3,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
13,CBOSS_Dilation,ItalyPowerDemand,0.86297,3.66672,24.61291,324,3,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
14,CBOSS_Dilation,MiddlePhalanxOutlineAgeGroup,0.61688,23.90224,5.10683,11167,3,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
15,CBOSS_Dilation,MiddlePhalanxOutlineCorrect,0.80756,45.19355,9.24764,11910,3,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
16,CBOSS_Dilation,MiddlePhalanxTW,0.55844,25.5549,5.32567,33103,3,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
17,CBOSS_Dilation,OliveOil,0.86667,7.83609,1.41499,2244,3,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
18,CBOSS_Dilation,Plane,1.0,23.31963,3.78326,35782,3,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
19,CBOSS_Dilation,ProximalPhalanxOutlineAgeGroup,0.8439,23.28992,7.03778,10705,3,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
20,CBOSS_Dilation,ProximalPhalanxOutlineCorrect,0.86598,41.41241,9.7443,12176,3,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
21,CBOSS_Dilation,ProximalPhalanxTW,0.78537,24.91921,7.10541,28932,3,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
22,CBOSS_Dilation,SyntheticControl,0.81,15.12889,8.16971,12933,3,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
23,CBOSS_Dilation,TwoLeadECG,0.9842,7.303,33.85022,654,3,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
24,CBOSS_Dilation,Wine,0.85185,15.04508,2.05054,1499,3,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
0,CBOSS_Dilation,ArrowHead,0.81143,11.89227,6.10854,7305,5,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
1,CBOSS_Dilation,Beef,0.73333,12.31111,1.29578,6436,5,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
2,CBOSS_Dilation,BeetleFly,0.8,30.01329,0.94049,5253,5,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
3,CBOSS_Dilation,BirdChicken,1.0,22.76401,0.94253,6014,5,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
4,CBOSS_Dilation,Car,0.78333,14.26627,2.31863,25059,5,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
5,CBOSS_Dilation,CBF,0.96778,13.9692,25.7478,2143,5,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
6,CBOSS_Dilation,Coffee,0.96429,7.11323,1.14843,3945,5,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
7,CBOSS_Dilation,DiatomSizeReduction,0.85948,4.1141,10.44265,3833,5,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
8,CBOSS_Dilation,DistalPhalanxOutlineAgeGroup,0.73381,41.02973,4.83796,11582,5,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
9,CBOSS_Dilation,DistalPhalanxOutlineCorrect,0.71014,99.90024,8.97763,13237,5,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
10,CBOSS_Dilation,DistalPhalanxTW,0.63309,45.58704,4.83517,31878,5,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
11,CBOSS_Dilation,ECG200,0.82,17.19625,2.98794,2980,5,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
12,CBOSS_Dilation,ECGFiveDays,0.99419,11.40533,24.37149,774,5,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
13,CBOSS_Dilation,ItalyPowerDemand,0.81827,4.8502,24.78851,330,5,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
14,CBOSS_Dilation,MiddlePhalanxOutlineAgeGroup,0.58442,38.53494,5.22311,12116,5,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
15,CBOSS_Dilation,MiddlePhalanxOutlineCorrect,0.78351,74.58034,8.70822,9105,5,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
16,CBOSS_Dilation,MiddlePhalanxTW,0.51948,40.83945,5.20359,37895,5,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
17,CBOSS_Dilation,OliveOil,0.86667,9.07341,1.38718,3107,5,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
18,CBOSS_Dilation,Plane,1.0,36.51552,3.84002,37246,5,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
19,CBOSS_Dilation,ProximalPhalanxOutlineAgeGroup,0.8439,38.84673,7.26262,14523,5,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
20,CBOSS_Dilation,ProximalPhalanxOutlineCorrect,0.86598,69.5487,10.05148,13721,5,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
21,CBOSS_Dilation,ProximalPhalanxTW,0.79512,35.88528,7.35146,37836,5,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
22,CBOSS_Dilation,SyntheticControl,0.82667,23.10795,7.88732,10925,5,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
23,CBOSS_Dilation,TwoLeadECG,0.99298,6.31985,31.40708,649,5,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
24,CBOSS_Dilation,Wine,0.7963,21.59045,2.12111,1323,5,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
0,CBOSS_Dilation,ArrowHead,0.81143,17.72436,5.73222,7132,10,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
1,CBOSS_Dilation,Beef,0.8,11.13772,1.2201,12315,10,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
2,CBOSS_Dilation,BeetleFly,0.9,15.46522,0.79257,10615,10,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
3,CBOSS_Dilation,BirdChicken,0.95,11.39535,0.77086,7825,10,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
4,CBOSS_Dilation,Car,0.8,18.15958,2.18821,24976,10,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
5,CBOSS_Dilation,CBF,0.94889,13.97061,26.22203,2379,10,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
6,CBOSS_Dilation,Coffee,0.96429,5.35498,1.15051,3816,10,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
7,CBOSS_Dilation,DiatomSizeReduction,0.85948,3.37986,10.44078,2801,10,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
8,CBOSS_Dilation,DistalPhalanxOutlineAgeGroup,0.68345,37.44959,4.77356,22492,10,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
9,CBOSS_Dilation,DistalPhalanxOutlineCorrect,0.69203,188.54724,8.21005,14013,10,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
10,CBOSS_Dilation,DistalPhalanxTW,0.71223,84.01586,4.59499,42359,10,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
11,CBOSS_Dilation,ECG200,0.78,16.38983,3.0477,2811,10,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
12,CBOSS_Dilation,ECGFiveDays,0.96748,7.33269,25.53532,1079,10,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
13,CBOSS_Dilation,ItalyPowerDemand,0.86492,6.95936,24.66822,278,10,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
14,CBOSS_Dilation,MiddlePhalanxOutlineAgeGroup,0.62338,45.31879,4.90359,9566,10,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
15,CBOSS_Dilation,MiddlePhalanxOutlineCorrect,0.76632,92.92547,9.38269,10777,10,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
16,CBOSS_Dilation,MiddlePhalanxTW,0.54545,18.81885,5.29448,34395,10,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
17,CBOSS_Dilation,OliveOil,0.83333,9.43632,1.21675,3056,10,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
18,CBOSS_Dilation,Plane,1.0,20.49123,3.54181,36658,10,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
19,CBOSS_Dilation,ProximalPhalanxOutlineAgeGroup,0.80976,19.56882,7.28547,11345,10,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
20,CBOSS_Dilation,ProximalPhalanxOutlineCorrect,0.88316,130.22365,9.86104,11301,10,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
21,CBOSS_Dilation,ProximalPhalanxTW,0.75122,57.35391,7.2083,28476,10,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
22,CBOSS_Dilation,SyntheticControl,0.76,43.78027,7.69608,10370,10,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
23,CBOSS_Dilation,TwoLeadECG,0.93327,7.14835,32.77641,521,10,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
24,CBOSS_Dilation,Wine,0.7037,7.63757,1.85657,1108,10,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
0,CBOSS_Dilation,ArrowHead,0.80571,5.04411,5.86196,8945,20,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
1,CBOSS_Dilation,Beef,0.56667,6.25087,1.15807,10444,20,"[8, 9, 11]","[True, False]","[16, 14, 12, 10, 8]",4,chi2,256
